State,Name,,ID,Mode,Vehicles Operated in Maximum Service,,Vehicles Available for Maximum Service,,Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Actual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Annual Unlinked Passenger Trips,,Annual Passenger Miles,
CA,Redding Area Bus Auth,,9093-B,DRp,14,,20,,0.0 ,,390.1 ,,367.2 ,,25.5 ,,21.5 ,,58.5 ,,367.2 ,
,,,,MBp,13,,20,,787.0 ,,831.5 ,,787.0 ,,50.8 ,,48.1 ,,868.2 ,,"3,776.1 ",
,,,,Total,27,,40,,787.0 ,,"1,221.7 ",,"1,154.2 ",,76.3 ,,69.6 ,,926.7 ,,"4,143.3 ",
CA,Riverside Special Transp,,9086-A,DR,18,,21,,0.0 ,,642.6 ,,582.3 ,,37.0 ,,33.1 ,,141.6 ,,642.6 ,
CA,Riverside Transit Agency,,9031-B,DRp,49,,55,,0.0 ,,"1,618.5 ",,"1,618.5 ",,101.8 ,,101.8 ,,225.6 ,,"1,549.8 ",
,,,,MB,65,,79,,"3,803.8 ",,"4,262.7 ",,"3,754.5 ",,269.2 ,,250.6 ,,"5,959.6 ",,"38,142.5 ",
,,,,MBp,32,,40,,"1,909.9 ",,"1,854.4 ",,"1,696.4 ",,100.7 ,,95.0 ,,642.4 ,,"5,177.5 ",
,,,,Total,146,,174,,"5,713.7 ",,"7,735.6 ",,"7,069.4 ",,471.7 ,,447.4 ,,"6,827.5 ",,"44,869.8 ",
CA,Roseville Transit,,9168-B,DRp,6,,12,,0.0 ,,302.3 ,,270.1 ,,21.0 ,,18.1 ,,69.9 ,,403.7 ,
,,,,MBp,10,,14,,326.9 ,,387.3 ,,326.9 ,,25.6 ,,22.3 ,,315.7 ,,"2,241.2 ",
,,,,Total,16,,26,,326.9 ,,689.6 ,,597.1 ,,46.7 ,,40.5 ,,385.6 ,,"2,644.8 ",
CA,Ryder/ATE-LA,,9179-D,MB,118,,149,,"3,803.8 ",,"6,084.8 ",,"3,803.8 ",,335.5 ,,226.1 ,,"4,573.8 ",,"53,021.9 ",Q
CA,Sacramento RTD,,9019-B,DRp,88,,138,,0.0 ,,"2,673.5 ",,"2,314.2 ",,160.5 ,,135.1 ,,237.5 ,,"2,092.1 ",
,,,,LR,32,,36,,"2,145.4 ",,"2,182.5 ",,"2,143.6 ",,106.9 ,,104.8 ,,"8,618.4 ",,"44,456.5 ",
,,,,MB,184,,225,,"7,590.1 ",,"9,094.7 ",,"7,580.5 ",,634.5 ,,584.8 ,,"19,115.3 ",,"79,275.0 ",
,,,,Total,304,,399,,"9,735.5 ",,"13,950.7 ",,"12,038.3 ",,901.9 ,,824.8 ,,"27,971.2 ",,"125,823.6 ",
CA,San Diego County CTS,,9188-B,DRp,48,,72,,0.0 ,,"2,138.8 ",,"1,774.2 ",,134.6 ,,113.5 ,,384.7 ,,"2,785.3 ",
,,,,MBp,72,,88,,"3,280.1 ",,"3,689.6 ",,"3,155.4 ",,252.3 ,,208.7 ,,"4,971.8 ",,"26,884.7 ",
,,,,Total,120,,160,,"3,280.1 ",,"5,828.4 ",,"4,929.7 ",,386.9 ,,322.2 ,,"5,356.5 ",,"29,670.1 ",
CA,San Diego MTDB,,9185-B,DRp,81,,97,,0.0 ,,"3,019.7 ",,"2,520.4 ",,210.3 ,,174.0 ,,679.8 ,,"3,051.4 ",
,,,,MBp,90,,107,,"4,153.2 ",,"4,627.6 ",,"4,149.8 ",,371.7 ,,333.0 ,,"11,643.7 ",,"41,931.6 ",
,,,,Total,171,,204,,"4,153.2 ",,"7,647.3 ",,"6,670.2 ",,582.0 ,,506.9 ,,"12,323.6 ",,"44,983.1 ",
CA,San Diego Rgnl Transp Svc,,9095-G,VPp,165,,294,,0.0 ,,"3,954.9 ",,"3,954.9 ",,82.2 ,,82.2 ,,574.6 ,,"28,147.8 ",
CA,San Diego Transit Corp,,9026-B,MB,258,,318,,"13,971.6 ",,"14,099.8 ",,"12,457.5 ",,"1,162.4 ",,"1,061.1 ",,"41,832.1 ",,"162,748.1 ",
CA,San Diego Trolley,,9054-G,LR,83,,86,,"7,070.0 ",,"7,133.4 ",,"7,070.0 ",,343.7 ,,334.6 ,,"28,885.6 ",,"189,200.4 ",
CA,San Joaquin RTD,,9012-B,DR,16,,18,,0.0 ,,36.5 ,,28.2 ,,3.6 ,,3.0 ,,9.0 ,,47.0 ,
,,,,DRp,39,,39,,0.0 ,,974.0 ,,876.5 ,,61.6 ,,55.2 ,,132.2 ,,"2,312.2 ",
,,,,MB,106,,107,,"3,569.4 ",,"3,569.9 ",,"2,791.7 ",,198.0 ,,176.1 ,,"3,962.6 ",,"29,096.9 ",
,,,,MBp,2,,2,,62.2 ,,72.1 ,,62.2 ,,6.0 ,,5.5 ,,29.5 ,,94.0 ,
,,,,VP,6,,6,,0.0 ,,150.9 ,,150.9 ,,3.3 ,,3.3 ,,15.6 ,,955.3 ,
,,,,Total,169,,172,,"3,631.7 ",,"4,803.5 ",,"3,909.6 ",,272.5 ,,243.1 ,,"4,149.0 ",,"32,505.4 ",
CA,San Mateo Cnty TransitDst,,9009-B,DRp,69,,89,,0.0 ,,"2,219.3 ",,"1,878.8 ",,163.0 ,,155.1 ,,211.8 ,,"1,779.2 ",
,,,,MB,206,,254,,"5,287.7 ",,"7,306.2 ",,"5,235.4 ",,537.2 ,,458.8 ,,"12,330.1 ",,"54,992.3 ",Q
,,,,MBp,72,,72,,"2,471.4 ",,"3,134.6 ",,"2,471.4 ",,185.8 ,,161.1 ,,"5,593.8 ",,"50,624.1 ",
,,,,Total,347,,415,,"7,759.1 ",,"12,660.1 ",,"9,585.7 ",,886.0 ,,775.0 ,,"18,135.8 ",,"107,395.7 ",Q
CA,Santa Barbara Metro TD,,9020-A,MB,67,,85,,"2,286.1 ",,"2,488.5 ",,"2,286.1 ",,190.3 ,,170.5 ,,"7,178.2 ",,"25,835.0 ",
CA,Santa Clara Valley TA,,9013-B,LR,41,,54,,"2,798.7 ",,"2,884.9 ",,"2,796.5 ",,198.2 ,,189.4 ,,"9,237.1 ",,"42,461.9 ",
,,,,MB,418,,502,,"19,176.8 ",,"22,160.5 ",,"18,770.2 ",,"1,582.7 ",,"1,454.3 ",,"47,237.7 ",,"182,186.5 ",
,,,,MBp,34,,34,,529.0 ,,673.2 ,,529.0 ,,63.3 ,,52.9 ,,825.6 ,,"2,120.2 ",
,,,,Total,493,,590,,"22,504.5 ",,"25,718.6 ",,"22,095.8 ",,"1,844.2 ",,"1,696.6 ",,"57,300.4 ",,"226,768.6 ",
CA,Santa Clarita Transit,,9171-B,DRp,11,,13,,0.0 ,,434.4 ,,374.9 ,,31.3 ,,24.9 ,,70.0 ,,559.7 ,
,,,,MBp,47,,59,,"2,926.0 ",,"2,878.4 ",,"2,647.8 ",,149.3 ,,133.3 ,,"2,894.6 ",,"53,260.1 ",
,,,,Total,58,,72,,"2,926.0 ",,"3,312.8 ",,"3,022.7 ",,180.6 ,,158.2 ,,"2,964.6 ",,"53,819.7 ",
CA,Santa Cruz Metro Transit,,9006-B,DRp,68,,71,,0.0 ,,774.8 ,,670.9 ,,61.1 ,,54.8 ,,101.5 ,,558.5 ,
,,,,MB,83,,123,,"3,500.8 ",,"4,004.0 ",,"3,499.2 ",,268.1 ,,246.3 ,,"6,155.0 ",,"30,005.0 ",
,,,,Total,151,,194,,"3,500.8 ",,"4,778.8 ",,"4,170.1 ",,329.2 ,,301.1 ,,"6,256.5 ",,"30,563.4 ",
CA,Santa Maria Area Transit,,9087-B,DRp,6,,6,,0.0 ,,135.5 ,,110.8 ,,11.9 ,,8.7 ,,26.2 ,,180.9 ,
,,,,MBp,8,,8,,313.4 ,,343.7 ,,313.4 ,,28.3 ,,24.5 ,,580.1 ,,817.8 ,
,,,,Total,14,,14,,313.4 ,,479.2 ,,424.2 ,,40.2 ,,33.3 ,,606.3 ,,998.7 ,
CA,Santa Monica Muni Bus,,9008-B,DRp,4,,5,,0.0 ,,88.4 ,,69.5 ,,9.7 ,,8.6 ,,22.6 ,,53.0 ,
,,,,MB,136,,173,,"4,970.4 ",,"5,482.9 ",,"4,967.0 ",,458.7 ,,429.0 ,,"22,816.7 ",,"82,846.8 ",
,,,,MBp,2,,4,,53.8 ,,53.1 ,,52.4 ,,8.8 ,,7.8 ,,124.7 ,,248.9 ,
,,,,Total,142,,182,,"5,024.2 ",,"5,624.4 ",,"5,088.9 ",,477.2 ,,445.4 ,,"22,964.0 ",,"83,148.7 ",
CA,Simi Valley Transit,,9050-A,DR,6,,8,,0.0 ,,288.5 ,,260.8 ,,20.9 ,,19.4 ,,42.5 ,,250.7 ,
,,,,MB,7,,15,,414.4 ,,433.7 ,,411.0 ,,27.2 ,,26.1 ,,393.8 ,,"1,898.5 ",
,,,,Total,13,,23,,414.4 ,,722.2 ,,671.7 ,,48.1 ,,45.5 ,,436.3 ,,"2,149.2 ",
CA,Sonoma County Transit,,9089-B,DRp,8,,12,,0.0 ,,362.3 ,,176.1 ,,22.8 ,,12.2 ,,26.0 ,,385.3 ,
,,,,MBp,40,,56,,"1,578.3 ",,"2,054.6 ",,"1,570.6 ",,116.3 ,,98.3 ,,"1,511.0 ",,"13,780.0 ",
,,,,Total,48,,68,,"1,578.3 ",,"2,417.0 ",,"1,746.6 ",,139.1 ,,110.5 ,,"1,537.0 ",,"14,165.3 ",
CA,South Coast Area Transit,,9035-B,DRp,12,,13,,0.0 ,,524.9 ,,460.3 ,,32.2 ,,26.4 ,,66.0 ,,449.0 ,
,,,,MB,34,,43,,"1,454.9 ",,"1,464.2 ",,"1,422.8 ",,124.2 ,,121.0 ,,"3,669.5 ",,"15,733.2 ",
,,,,Total,46,,56,,"1,454.9 ",,"1,989.1 ",,"1,883.1 ",,156.4 ,,147.4 ,,"3,735.4 ",,"16,182.1 ",
CA,Southern Calif RR Auth,,9151-B,CR,134,,152,,"6,798.3 ",,"7,045.2 ",,"6,776.1 ",,192.5 ,,165.0 ,,"7,398.0 ",,"274,625.4 ",
CA,SunLine Transit Agency,,9079-A,DR,20,,33,,0.0 ,,882.5 ,,778.4 ,,49.7 ,,43.8 ,,123.7 ,,"1,242.2 ",
,,,,MB,41,,56,,"2,426.4 ",,"2,272.2 ",,"2,157.7 ",,140.4 ,,135.4 ,,"3,748.7 ",,"23,756.8 ",
,,,,Total,61,,89,,"2,426.4 ",,"3,154.7 ",,"2,936.1 ",,190.1 ,,179.2 ,,"3,872.4 ",,"24,999.0 ",
CA,Thousand Oaks Transit,,9165-B,DRp,8,,8,,0.0 ,,263.5 ,,231.4 ,,21.5 ,,19.1 ,,66.9 ,,312.9 ,
,,,,MBp,6,,7,,209.2 ,,225.2 ,,209.2 ,,16.6 ,,15.2 ,,141.8 ,,538.8 ,
,,,,Total,14,,15,,209.2 ,,488.7 ,,440.6 ,,38.0 ,,34.3 ,,208.6 ,,851.6 ,
CA,Torrance Transit System,,9010-B,DRp,36,,56,,0.0 ,,357.1 ,,352.3 ,,24.0 ,,22.8 ,,82.9 ,,320.9 ,
,,,,MB,48,,50,,"1,869.1 ",,"1,955.1 ",,"1,871.2 ",,153.8 ,,148.9 ,,"4,750.3 ",,"25,573.3 ",
,,,,MBp,11,,14,,122.4 ,,310.5 ,,121.5 ,,13.5 ,,6.5 ,,73.0 ,,763.3 ,
,,,,Total,95,,120,,"1,991.6 ",,"2,622.7 ",,"2,345.1 ",,191.2 ,,178.1 ,,"4,906.2 ",,"26,657.5 ",
CA,UNITRANS-Davis,,9142-A,MB,31,,40,,637.4 ,,667.7 ,,623.3 ,,62.2 ,,59.4 ,,"2,459.3 ",,"4,648.1 ",
CA,Union City Transit Div,,9161-B,DRp,3,,4,,0.0 ,,48.2 ,,42.8 ,,4.5 ,,4.2 ,,8.1 ,,22.5 ,
,,,,MBp,12,,13,,503.0 ,,533.0 ,,500.1 ,,39.8 ,,38.0 ,,555.4 ,,"2,278.4 ",
,,,,Total,15,,17,,503.0 ,,581.2 ,,543.0 ,,44.2 ,,42.2 ,,563.6 ,,"2,300.9 ",
CA,Vallejo Transit,,9028-B,DRp,8,,10,,0.0 ,,333.4 ,,304.2 ,,18.9 ,,17.2 ,,36.1 ,,307.3 ,
,,,,FBp,2,,3,,225.0 ,,218.8 ,,211.7 ,,7.9 ,,7.7 ,,767.4 ,,"19,884.2 ",
,,,,MBp,42,,57,,"2,458.0 ",,"2,708.3 ",,"2,453.5 ",,134.9 ,,118.3 ,,"2,822.5 ",,"20,279.9 ",
,,,,Total,52,,70,,"2,683.0 ",,"3,260.6 ",,"2,969.4 ",,161.7 ,,143.2 ,,"3,626.1 ",,"40,471.3 ",
CA,Ventura Intercity Svc TA,,9164-B,DRp,8,,11,,0.0 ,,301.0 ,,282.5 ,,20.7 ,,19.4 ,,142.1 ,,794.3 ,
,,,,MBp,16,,18,,"1,019.1 ",,"1,105.3 ",,"1,019.0 ",,37.7 ,,34.8 ,,281.0 ,,"3,632.3 ",
,,,,Total,24,,29,,"1,019.1 ",,"1,406.3 ",,"1,301.5 ",,58.4 ,,54.2 ,,423.1 ,,"4,426.6 ",
CA,Victor Valley TA,,9148-B,DRp,23,,34,,0.0 ,,997.4 ,,810.4 ,,54.2 ,,39.7 ,,102.1 ,,"1,241.3 ",
,,,,MBp,15,,24,,"1,062.6 ",,"1,151.6 ",,"1,062.6 ",,60.2 ,,56.0 ,,998.9 ,,"9,008.0 ",
,,,,Total,38,,58,,"1,062.6 ",,"2,149.0 ",,"1,873.0 ",,114.4 ,,95.8 ,,"1,101.0 ",,"10,249.3 ",
CA,Visalia City Coach,,9091-B,DRp,5,,6,,0.0 ,,147.3 ,,138.2 ,,10.9 ,,9.5 ,,36.3 ,,214.2 ,
,,,,MBp,17,,25,,781.3 ,,797.5 ,,781.3 ,,59.8 ,,56.0 ,,"1,254.3 ",,"5,337.4 ",
,,,,Total,22,,31,,781.3 ,,944.8 ,,919.5 ,,70.7 ,,65.5 ,,"1,290.6 ",,"5,551.6 ",
CA,Western Contra Costa TA,,9159-B,DRp,10,,12,,0.0 ,,314.7 ,,281.3 ,,21.6 ,,19.0 ,,79.2 ,,373.2 ,
,,,,MBp,28,,32,,"1,107.1 ",,"1,183.2 ",,"1,106.7 ",,75.8 ,,71.5 ,,"1,336.3 ",,"3,776.7 ",
,,,,Total,38,,44,,"1,107.1 ",,"1,497.9 ",,"1,387.9 ",,97.4 ,,90.5 ,,"1,415.5 ",,"4,149.9 ",
CA,Yolo County TD,,9090-B,DRp,4,,10,,0.0 ,,171.0 ,,138.8 ,,12.1 ,,9.8 ,,15.9 ,,111.6 ,
,,,,MBp,23,,32,,"1,257.1 ",,"1,546.3 ",,"1,257.1 ",,81.1 ,,66.0 ,,"1,260.2 ",,"18,625.3 ",
,,,,Total,27,,42,,"1,257.1 ",,"1,717.3 ",,"1,395.9 ",,93.3 ,,75.8 ,,"1,276.1 ",,"18,736.9 ",
CA,Yuba-Sutter Transit Auth,,9061-B,DRp,15,,15,,0.0 ,,329.2 ,,287.6 ,,21.9 ,,18.9 ,,64.8 ,,618.8 ,
,,,,MBp,13,,13,,603.3 ,,668.8 ,,603.3 ,,38.2 ,,34.2 ,,503.3 ,,"3,484.5 ",
,,,,Total,28,,28,,603.3 ,,998.0 ,,890.9 ,,60.0 ,,53.2 ,,568.2 ,,"4,103.3 ",
CO,City of Fort Collins,,8011-A,DR,15,,18,,0.0 ,,411.5 ,,379.2 ,,36.4 ,,34.5 ,,74.6 ,,389.3 ,
,,,,MB,19,,30,,793.4 ,,854.7 ,,793.4 ,,62.2 ,,59.7 ,,"1,713.3 ",,"5,360.6 ",
,,,,Total,34,,48,,793.4 ,,"1,266.2 ",,"1,172.5 ",,98.5 ,,94.2 ,,"1,787.9 ",,"5,749.9 ",
CO,City of Greeley-The Bus,,8010-A,DR,5,,6,,0.0 ,,123.9 ,,107.4 ,,14.6 ,,13.2 ,,26.8 ,,96.8 ,
,,,,MB,10,,14,,389.1 ,,393.4 ,,389.1 ,,29.6 ,,28.0 ,,420.7 ,,"1,548.1 ",
,,,,Total,15,,20,,389.1 ,,517.3 ,,496.5 ,,44.1 ,,41.3 ,,447.5 ,,"1,644.9 ",
CO,Colorado Springs Transit,,8005-B,DRp,49,,65,,0.0 ,,"1,555.6 ",,"1,446.9 ",,103.7 ,,97.7 ,,234.0 ,,"1,380.1 ",
,,,,MB,48,,60,,"2,304.0 ",,"2,476.7 ",,"2,274.4 ",,156.0 ,,148.1 ,,"3,234.0 ",,"12,879.2 ",
,,,,Total,97,,125,,"2,304.0 ",,"4,032.3 ",,"3,721.3 ",,259.7 ,,245.8 ,,"3,468.0 ",,"14,259.3 ",
CO,Grand Junction-MesAbility,,8016-B,DRp,6,,9,,0.0 ,,138.6 ,,101.1 ,,13.8 ,,11.5 ,,18.5 ,,100.2 ,
,,,,MBp,18,,23,,835.5 ,,870.0 ,,835.5 ,,64.3 ,,61.2 ,,192.9 ,,"1,494.1 ",
,,,,Total,24,,32,,835.5 ,,"1,008.6 ",,936.6 ,,78.1 ,,72.7 ,,211.3 ,,"1,594.3 ",
CO,Pueblo Transit,,8007-B,DRp,5,,5,,0.0 ,,165.3 ,,165.3 ,,12.6 ,,12.6 ,,26.7 ,,148.2 ,
,,,,MB,12,,16,,516.7 ,,521.0 ,,516.7 ,,37.3 ,,36.8 ,,953.4 ,,"2,822.0 ",
,,,,Total,17,,21,,516.7 ,,686.4 ,,682.1 ,,49.9 ,,49.4 ,,980.0 ,,"2,970.3 ",
CO,Regional Transp District,,8006-B,DR,16,,16,,0.0 ,,105.3 ,,82.7 ,,11.7 ,,9.9 ,,92.8 ,,835.2 ,
,,,,DRp,2,,3,,0.0 ,,50.6 ,,46.5 ,,2.9 ,,2.4 ,,11.2 ,,75.7 ,
,,,,LR,29,,31,,"2,319.7 ",,"2,423.7 ",,"2,319.7 ",,150.0 ,,132.6 ,,"9,080.6 ",,"63,519.7 ",
,,,,MB,598,,833,,"25,149.8 ",,"32,485.5 ",,"25,508.1 ",,"1,989.3 ",,"1,685.6 ",,"55,159.4 ",,"247,582.5 ",
,,,,MBp,264,,330,,"11,234.2 ",,"12,603.9 ",,"11,190.6 ",,860.5 ,,788.7 ,,"15,307.3 ",,"73,819.9 ",
,,,,Total,909,,"1,213",,"38,703.8 ",,"47,669.0 ",,"39,147.6 ",,"3,014.4 ",,"2,619.3 ",,"79,651.3 ",,"385,833.1 ",
CO,Special Transit,,8024-D,DR,149,,162,,0.0 ,,"4,223.6 ",,"3,608.9 ",,334.3 ,,311.7 ,,366.7 ,,"3,868.1 ",
,,,,DRp,59,,70,,0.0 ,,"1,627.3 ",,"1,442.7 ",,90.3 ,,81.8 ,,102.2 ,,"1,442.7 ",
,,,,Total,208,,232,,0.0 ,,"5,850.9 ",,"5,051.6 ",,424.5 ,,393.5 ,,468.9 ,,"5,310.8 ",
CT,Conn DOT,,1102-C,CRp,16,,29,,556.4 ,,830.4 ,,552.5 ,,18.9 ,,13.6 ,,288.8 ,,"6,547.7 ",
,,,,MBp,12,,12,,191.8 ,,332.4 ,,191.8 ,,15.4 ,,6.9 ,,175.7 ,,"2,642.1 ",
,,,,Total,28,,41,,748.2 ,,"1,162.8 ",,744.2 ,,34.3 ,,20.5 ,,464.5 ,,"9,189.8 ",
CT,Greater Bridgeport TD,,1050-B,DRp,16,,21,,0.0 ,,489.2 ,,370.5 ,,31.4 ,,23.8 ,,75.7 ,,467.4 ,
,,,,MB,41,,56,,"2,167.5 ",,"2,286.2 ",,"2,166.2 ",,176.5 ,,167.3 ,,"5,388.0 ",,"11,314.8 ",
,,,,Total,57,,77,,"2,167.5 ",,"2,775.4 ",,"2,536.8 ",,207.8 ,,191.1 ,,"5,463.7 ",,"11,782.2 ",
CT,Greater Hartford Transit,,1017-B,DRp,86,,123,,0.0 ,,"2,332.8 ",,"2,216.1 ",,185.7 ,,176.4 ,,454.4 ,,"2,847.2 ",
,,,,MBp,2,,2,,69.2 ,,72.9 ,,69.2 ,,5.5 ,,5.2 ,,82.0 ,,328.7 ,
,,,,Total,88,,125,,69.2 ,,"2,405.6 ",,"2,285.3 ",,191.2 ,,181.6 ,,536.4 ,,"3,175.9 ",
CT,Greater New Haven Transit,,1049-B,DR,32,,44,,0.0 ,,"1,051.1 ",,933.0 ,,77.2 ,,67.6 ,,195.7 ,,933.0 ,
,,,,DRp,64,,64,,0.0 ,,686.7 ,,618.0 ,,112.4 ,,96.4 ,,234.2 ,,618.0 ,
,,,,Total,96,,108,,0.0 ,,"1,737.8 ",,"1,551.0 ",,189.7 ,,163.9 ,,429.8 ,,"1,551.0 ",
CT,Hartford Ridesharing Corp,,1108-A,VP,294,,361,,0.0 ,,"5,907.2 ",Q,"5,805.9 ",Q,0.0 ,N,0.0 ,N,0.0 ,N,"69,670.7 ",Q
CT,Hartford-CT Transit,,1048-D,MB,184,,222,,"6,549.3 ",,"7,316.3 ",,"6,534.4 ",,530.7 ,,487.1 ,,"16,846.9 ",,"60,133.5 ",
CT,Housatonic Area Reg Trans,,1051-A,DR,15,,20,,0.0 ,,456.5 ,,423.6 ,,31.3 ,,28.9 ,,62.8 ,,443.4 ,
,,,,MB,18,,30,,753.4 ,,804.1 ,,752.9 ,,49.9 ,,46.6 ,,762.5 ,,"2,795.7 ",
,,,,Total,33,,50,,753.4 ,,"1,260.6 ",,"1,176.5 ",,81.2 ,,75.5 ,,825.4 ,,"3,239.1 ",
CT,Middletown Trans Dist,,1063-B,DRp,8,,16,,0.0 ,,179.7 ,,157.2 ,,19.6 ,,16.8 ,,37.7 ,,155.2 ,
,,,,MBp,7,,10,,353.6 ,,362.4 ,,352.5 ,,24.7 ,,22.0 ,,337.6 ,,"1,566.4 ",
,,,,Total,15,,26,,353.6 ,,542.2 ,,509.6 ,,44.3 ,,38.8 ,,375.2 ,,"1,721.6 ",
CT,Milford Transit District,,1107-A,DR,12,,15,,0.0 ,,420.5 ,,354.8 ,,24.3 ,,22.4 ,,66.5 ,,383.9 ,
,,,,MB,6,,8,,288.1 ,,297.1 ,,288.1 ,,26.3 ,,24.7 ,,333.9 ,,"1,510.5 ",
,,,,Total,18,,23,,288.1 ,,717.6 ,,642.9 ,,50.6 ,,47.1 ,,400.4 ,,"1,894.5 ",
CT,New Britain Transp Co-A,,1047-D,MB,11,,11,,491.4 ,,520.7 ,,491.4 ,,32.1 ,,30.3 ,,452.3 ,,"1,976.5 ",
CT,New Britain Transp Co-B,,1052-D,MB,3,,3,,97.4 ,,110.2 ,,97.4 ,,6.7 ,,5.9 ,,64.6 ,,274.3 ,
CT,New Haven-CT Transit,,1055-D,MB,93,,117,,"3,350.4 ",,"3,587.8 ",,"3,345.1 ",,309.9 ,,285.6 ,,"11,795.0 ",,"40,568.4 ",
CT,Northeast Transp Comp,,1095-D,DR,25,,34,,0.0 ,,759.0 ,,635.5 ,,41.5 ,,36.3 ,,92.1 ,,505.4 ,
,,,,MB,31,,41,,889.6 ,,"1,000.5 ",,889.6 ,,77.2 ,,71.8 ,,"1,896.3 ",,"3,868.5 ",
,,,,Total,56,,75,,889.6 ,,"1,759.5 ",,"1,525.1 ",,118.7 ,,108.1 ,,"1,988.4 ",,"4,373.9 ",
CT,Norwalk Transit District,,1057-B,DR,17,,17,,0.0 ,,283.2 ,,195.1 ,,18.1 ,,12.5 ,,25.8 ,,113.2 ,
,,,,DRp,19,,19,,0.0 ,,306.9 ,,215.0 ,,26.6 ,,18.6 ,,39.3 ,,173.2 ,
,,,,MB,31,,36,,"1,150.2 ",,"1,191.3 ",,"1,148.3 ",,89.4 ,,84.3 ,,"2,074.1 ",,"5,987.3 ",
,,,,MBp,3,,3,,26.2 ,,46.2 ,,26.2 ,,2.0 ,,1.5 ,,51.6 ,,144.3 ,
,,,,Total,70,,75,,"1,176.3 ",,"1,827.6 ",,"1,584.7 ",,136.2 ,,116.9 ,,"2,190.7 ",,"6,418.0 ",
CT,Southeast Area Transit,,1040-A,MB,19,,25,,788.2 ,,856.9 ,,787.6 ,,51.8 ,,49.6 ,,952.2 ,,"4,448.9 ",
CT,Stamford-CT Transit,,1056-D,MB,33,,43,,"1,222.8 ",,"1,249.0 ",,"1,222.5 ",,108.1 ,,105.3 ,,"5,077.7 ",,"18,303.8 ",
CT,Valley Transit District,,1042-A,DR,18,,18,,0.0 ,,413.6 ,,268.9 ,,29.9 ,,26.9 ,,131.6 ,,571.7 ,
DC,Washington-Metro,,3030-B,DRp,138,,138,,0.0 ,,"6,939.6 ",,"5,569.6 ",,426.8 ,,357.0 ,,557.0 ,,"5,419.6 ",
,,,,HR,628,,758,,"48,271.5 ",,"53,428.5 ",,"51,553.4 ",,"2,463.4 ",,"2,316.0 ",,"235,731.7 ",,"1,362,866.3 ",
,,,,MB,"1,212",,"1,430",,"35,863.5 ",,"44,858.7 ",,"36,447.6 ",,"3,584.2 ",,"3,247.0 ",,"142,647.6 ",,"457,028.2 ",
,,,,Total,"1,978",,"2,326",,"84,134.9 ",,"105,226.9 ",,"93,570.6 ",,"6,474.4 ",,"5,920.1 ",,"378,936.3 ",,"1,825,314.2 ",
DE,Delaware Transit Corp,,3075-B,DR,143,,170,,0.0 ,,"5,758.3 ",,"5,758.3 ",,302.9 ,,302.9 ,,505.9 ,,"5,312.5 ",Q
,,,,DRp,88,,88,,0.0 ,,314.3 ,,314.3 ,,20.3 ,,20.3 ,,35.2 ,,369.2 ,Q
,,,,MB,150,,176,,"4,553.2 ",,"4,809.4 ",,"4,514.5 ",,364.8 ,,339.3 ,,"7,739.0 ",,"31,591.7 ",
,,,,MBp,20,,27,,933.6 ,,"1,072.9 ",,977.8 ,,63.1 ,,51.7 ,,262.8 ,,"4,595.1 ",
,,,,Total,401,,461,,"5,486.8 ",,"11,954.8 ",,"11,564.9 ",,751.1 ,,714.3 ,,"8,542.9 ",,"41,868.4 ",
FL,Advanced Trans Solutions,,4134-F,DRp,196,,261,,0.0 ,,"1,600.5 ",,"1,410.0 ",,96.1 ,,87.4 ,,151.7 ,,"1,723.9 ",
FL,Bay Cnty Council on Aging,,4085-A,DR,36,,40,,0.0 ,,913.0 ,,733.8 ,,58.5 ,,47.1 ,,178.9 ,,902.1 ,
,,,,MB,4,,6,,178.1 ,,190.2 ,,175.5 ,,11.6 ,,10.5 ,,74.8 ,,187.0 ,
,,,,Total,40,,46,,178.1 ,,"1,103.2 ",,909.3 ,,70.1 ,,57.6 ,,253.6 ,,"1,089.0 ",
FL,Broward Cnty Mass Transit,,4029-B,DRp,210,,244,,0.0 ,,"8,976.0 ",,"7,837.1 ",,652.2 ,,571.0 ,,922.1 ,,"9,418.8 ",
,,,,MB,203,,250,,"11,820.9 ",,"12,827.7 ",,"11,850.4 ",,898.5 ,,862.6 ,,"30,744.5 ",,"134,084.6 ",
,,,,MBp,52,,78,,"1,423.0 ",,"1,529.1 ",,"1,395.0 ",,107.9 ,,102.8 ,,776.0 ,,"3,115.8 ",
,,,,Total,465,,572,,"13,243.9 ",,"23,332.7 ",,"21,082.4 ",,"1,658.5 ",,"1,536.4 ",,"32,442.5 ",,"146,619.2 ",
FL,COMSIS Mobility Services,,4106-F,DRp,208,,261,,0.0 ,,"9,294.6 ",,"8,187.7 ",,607.2 ,,557.7 ,,910.3 ,,"9,047.0 ",
FL,Central Florida Regnl TA,,4035-B,DRp,155,,173,,0.0 ,,"7,894.3 ",,"6,800.4 ",,469.0 ,,422.7 ,,724.4 ,,"8,477.5 ",
,,,,MB,190,,234,,"11,564.2 ",,"12,595.8 ",,"11,576.9 ",,884.2 ,,828.1 ,,"21,290.0 ",,"113,317.7 ",
,,,,VPp,59,,89,,0.0 ,,"1,668.8 ",,"1,668.8 ",,33.5 ,,33.5 ,,290.3 ,,"9,299.1 ",
