State,Name,ID,Org Type,Mode,TOS, VOMS,Vehicles Available for Maximum Service,,Service Supplied (Thousands),,,,,,,,,,Unlinked Passenger Trips,,,
FL,Hernando County Board of County Commissioners (The Bus),,,,,,,,,,,,,,,,,,,,,
,,4146,B,DR,PT,12,17,,0.0 ,,7.3 ,,6.6 ,Q,1.0 ,,1.0 ,,1.6 ,,10.6 ,
,,4146,B,MB,PT,6,8,,309.7 ,,340.1 ,,309.7 ,,19.9 ,,18.8 ,,133.8 ,,521.8 ,
,,,,Total,,18,25,,309.7 ,,347.4 ,,316.3 ,,21.0 ,,19.8 ,,135.4 ,,532.4 ,
FL,Hillsborough Area Regional Transit Authority (HART),,,,,,,,,,,,,,,,,,,,,
,,4041,B,DR,DO,24,24,,0.0 ,,704.6 ,,588.7 ,,48.1 ,,41.2 ,,49.3 ,,380.4 ,
,,4041,B,LR,DO,8,10,,83.4 ,,84.9 ,Q,83.7 ,Q,17.8 ,Q,17.6 ,Q,565.0 ,,919.5 ,
,,4041,B,MB,DO,151,188,,"6,722.0 ",,"7,463.1 ",,"6,716.4 ",,574.6 ,,542.0 ,,"11,041.9 ",,"53,429.2 ",
,,4041,B,VP,PT,21,22,,0.0 ,,423.1 ,,423.1 ,,9.9 ,,9.9 ,,46.1 ,,"2,262.1 ",
,,,,Total,,204,244,,"6,805.3 ",,"8,675.8 ",,"7,812.0 ",,650.4 ,,610.7 ,,"11,702.3 ",,"56,991.3 ",
FL,Jacksonville Transportation Authority (JTA),,,,,,,,,,,,,,,,,,,,,
,,4040,B,AG,DO,7,10,,262.4 ,,262.4 ,,261.0 ,,20.0 ,,19.7 ,,736.5 ,,303.7 ,
,,4040,B,DR,PT,124,158,,0.0 ,,"6,264.6 ",,"5,644.6 ",,369.1 ,,327.2 ,,584.7 ,,"6,445.7 ",
,,4040,B,MB,DO,174,217,,"10,066.6 ",,"10,445.2 ",,"10,014.3 ",,640.2 ,,611.9 ,,"9,765.8 ",,"60,219.2 ",
,,,,Total,,305,385,,"10,329.0 ",,"16,972.2 ",,"15,919.9 ",,"1,029.4 ",,958.8 ,,"11,087.0 ",,"66,968.6 ",
FL,Lakeland Area Mass Transit District (Citrus Connection),,,,,,,,,,,,,,,,,,,,,
,,4031,A,DR,DO,15,20,,0.0 ,,517.0 ,,474.6 ,Q,40.3 ,Q,33.7 ,Q,131.6 ,,"1,116.1 ",Q
,,4031,A,MB,DO,29,41,,"1,427.8 ",,"1,447.7 ",,"1,429.4 ",,86.3 ,,85.5 ,,"1,538.2 ",,"6,232.8 ",
,,,,Total,,44,61,,"1,427.8 ",,"1,964.7 ",,"1,904.0 ",,126.7 ,,119.2 ,,"1,669.8 ",,"7,348.9 ",
FL,Lee County Transit (LeeTran),,,,,,,,,,,,,,,,,,,,,
,,4028,B,DR,DO,35,37,,0.0 ,,887.0 ,,757.4 ,,60.6 ,,50.4 ,,91.0 ,,"1,207.5 ",
,,4028,B,DR,PT,27,37,,0.0 ,,372.4 ,,323.0 ,,23.1 ,,20.5 ,,40.4 ,,511.5 ,
,,4028,B,MB,DO,48,57,,"2,863.5 ",,"3,058.3 ",,"2,866.8 ",,188.6 ,,178.6 ,,"2,827.2 ",,"14,612.1 ",
,,4028,B,VP,PT,5,7,,0.0 ,,86.9 ,,86.9 ,,2.0 ,,2.0 ,,16.0 ,,582.8 ,
,,,,Total,,115,138,,"2,863.5 ",,"4,404.6 ",,"4,034.1 ",,274.3 ,,251.4 ,,"2,974.6 ",,"16,913.8 ",
FL,Manatee County Area Transit (MCAT),,,,,,,,,,,,,,,,,,,,,
,,4026,A,DR,DO,22,28,,0.0 ,,708.0 ,,654.8 ,,44.9 ,,42.3 ,,99.6 ,,654.5 ,
,,4026,A,MB,DO,19,25,,"1,000.1 ",,"1,079.1 ",,"1,003.9 ",,85.6 ,,82.6 ,,"1,304.6 ",,"1,566.0 ",
,,4026,A,VP,DO,2,2,,0.0 ,,34.4 ,,34.4 ,,1.1 ,,1.1 ,,1.0 ,,67.0 ,
,,,,Total,,43,55,,"1,000.1 ",,"1,821.5 ",,"1,693.2 ",,131.6 ,,126.0 ,,"1,405.2 ",,"2,287.5 ",
FL,Miami-Dade Transit (MDT),,,,,,,,,,,,,,,,,,,,,
,,4034,B,AG,DO,18,29,,965.2 ,,949.4 ,,935.4 ,,93.1 ,,91.7 ,,"9,444.9 ",,"9,437.6 ",
,,4034,B,HR,DO,104,136,,"9,409.9 ",,"9,527.3 ",,"9,345.7 ",,421.4 ,,395.1 ,,"17,034.5 ",,"134,854.5 ",
,,4034,B,MB,DO,751,981,,"35,565.0 ",,"39,901.4 ",,"34,222.5 ",,"2,981.5 ",,"2,732.0 ",,"76,753.0 ",,"324,237.4 ",
,,,,Total,,873,"1,146",,"45,940.1 ",,"50,378.1 ",,"44,503.6 ",,"3,496.0 ",,"3,218.8 ",,"103,232.4 ",,"468,529.6 ",
FL,Okaloosa County Board of County Commissioners,,,,,,,,,,,,,,,,,,,,,
,,4128,B,DR,PT,39,47,,0.0 ,,"1,044.1 ",,867.4 ,,60.9 ,,51.4 ,,133.5 ,,932.7 ,
,,4128,B,MB,PT,12,15,,393.8 ,,398.1 ,,388.3 ,,30.4 ,,29.7 ,,71.2 ,,394.8 ,
,,,,Total,,51,62,,393.8 ,,"1,442.1 ",,"1,255.6 ",,91.2 ,,81.1 ,,204.7 ,,"1,327.5 ",
FL,Pasco County Public Transportation (PCPT),,,,,,,,,,,,,,,,,,,,,
,,4074,B,DR,DO,15,25,,0.0 ,,319.2 ,,256.5 ,,17.7 ,,14.4 ,,50.7 ,,422.9 ,
,,4074,B,DR,PT,24,47,,0.0 ,,339.3 ,,336.3 ,,20.6 ,,20.2 ,,39.3 ,,382.7 ,
,,4074,B,MB,DO,16,28,,870.0 ,,946.6 ,,871.1 ,,54.2 ,,50.8 ,,740.9 ,,"4,567.0 ",
,,,,Total,,55,100,,870.0 ,,"1,605.1 ",,"1,463.9 ",,92.5 ,,85.4 ,,830.9 ,,"5,372.6 ",
FL,Pinellas Suncoast Transit Authority (PSTA),,,,,,,,,,,,,,,,,,,,,
,,4027,B,DR,PT,97,133,,0.0 ,,"3,517.3 ",,"3,242.3 ",,119.2 ,,109.9 ,,255.4 ,,"2,205.6 ",
,,4027,B,MB,DO,147,180,,"8,311.0 ",,"9,131.2 ",,"8,298.1 ",,596.7 ,,563.8 ,,"10,088.5 ",,"47,880.7 ",
,,4027,B,MB,PT,5,5,,50.8 ,,58.4 ,,54.2 ,,6.2 ,,5.9 ,,115.8 ,,11.6 ,Q
,,,,Total,,249,318,,"8,361.8 ",,"12,706.9 ",,"11,594.5 ",,722.1 ,,679.5 ,,"10,459.6 ",,"50,097.9 ",
FL,Polk County Transit Services Division - Polk County Board of County Commissioners (PCTS),,,,,,,,,,,,,,,,,,,,,
,,4127,B,DR,DO,37,37,,0.0 ,,525.6 ,,325.5 ,,35.7 ,,28.8 ,,50.1 ,,300.3 ,
,,4127,B,DR,PT,28,28,,0.0 ,,"1,146.5 ",,949.9 ,,71.5 ,,53.4 ,,56.1 ,,951.2 ,
,,4127,B,MB,DO,11,11,,435.1 ,,472.4 ,,434.8 ,,27.1 ,,25.2 ,,102.3 ,Q,549.3 ,Q
,,4127,B,MB,PT,8,8,,405.6 ,,447.3 ,,404.3 ,,24.5 ,,22.3 ,,350.3 ,,404.3 ,Q
,,,,Total,,84,84,,840.7 ,,"2,591.8 ",,"2,114.4 ",,158.8 ,,129.7 ,,558.8 ,,"2,205.1 ",
FL,Sarasota County Area Transit (SCAT),,,,,,,,,,,,,,,,,,,,,
,,4046,B,DR,DO,23,34,,0.0 ,,619.0 ,,448.9 ,,54.7 ,,41.1 ,,91.9 ,,704.8 ,
,,4046,B,DR,PT,35,41,,0.0 ,,"1,241.7 ",,"1,014.0 ",,80.1 ,,59.9 ,,113.9 ,,"1,336.0 ",
,,4046,B,MB,DO,28,40,,"1,673.6 ",,"1,771.2 ",,"1,671.0 ",,106.6 ,,101.9 ,,"1,876.2 ",,"8,893.4 ",
,,,,Total,,86,115,,"1,673.6 ",,"3,631.8 ",,"3,133.9 ",,241.4 ,,202.9 ,,"2,082.0 ",,"10,934.1 ",
FL,South Florida Regional Transportation Authority (TRI-Rail),,,,,,,,,,,,,,,,,,,,,
,,4077,B,CR,PT,26,30,,"2,197.8 ",,"2,282.6 ",,"2,197.8 ",,70.2 ,,66.6 ,,"2,800.4 ",,"84,532.2 ",
,,4077,B,MB,PT,11,13,,270.1 ,,435.3 ,,270.1 ,,38.5 ,,29.6 ,,263.7 ,,721.6 ,
,,,,Total,,37,43,,"2,467.9 ",,"2,717.9 ",,"2,467.9 ",,108.8 ,,96.2 ,,"3,064.1 ",,"85,253.7 ",
FL,Space Coast Area Transit (SCAT),,,,,,,,,,,,,,,,,,,,,
,,4063,B,DR,DO,43,45,,0.0 ,,886.3 ,,698.8 ,,72.8 ,,57.0 ,,154.4 ,,"2,214.9 ",
,,4063,B,DR,PT,72,74,,0.0 ,,"1,302.6 ",,"1,293.7 ",,75.5 ,,75.2 ,,341.6 ,,"8,160.3 ",
,,4063,B,MB,DO,19,21,,998.2 ,,"1,045.3 ",,"1,011.7 ",,48.8 ,,47.3 ,,839.5 ,,"4,566.9 ",
,,4063,B,VP,PT,34,36,,0.0 ,,983.6 ,,983.6 ,,18.2 ,,18.2 ,,122.9 ,,"6,741.0 ",
,,,,Total,,168,176,,998.2 ,,"4,217.8 ",,"3,987.7 ",,215.3 ,,197.6 ,,"1,458.4 ",,"21,683.1 ",
FL,"Tri-County Community Council, Inc (TCCC)",,,,,,,,,,,,,,,,,,,,,
,,4148,B,DR,DO,39,42,,0.0 ,,832.7 ,Q,795.9 ,Q,52.2 ,Q,49.5 ,Q,203.4 ,,"1,026.2 ",
,,4148,B,DR,PT,4,5,,0.0 ,,31.5 ,,22.9 ,,4.4 ,,3.9 ,,4.4 ,,22.8 ,
,,,,Total,,43,47,,0.0 ,,864.2 ,,818.8 ,,56.6 ,,53.4 ,,207.9 ,,"1,049.0 ",
FL,"VPSI, Inc.",,,,,,,,,,,,,,,,,,,,,
,,4152,D,VP,DO,139,152,,0.0 ,,"1,691.1 ",,"1,691.1 ",,37.1 ,,37.1 ,,214.6 ,,0.0 ,W
GA,Albany Transit System (ATS),,,,,,,,,,,,,,,,,,,,,
,,4021,A,DR,DO,4,5,,0.0 ,,154.4 ,,141.8 ,,10.9 ,,10.3 ,,27.9 ,,125.1 ,
,,4021,A,MB,DO,7,10,,534.8 ,,539.8 ,,534.8 ,,33.7 ,,32.1 ,,662.5 ,,"3,366.1 ",
,,,,Total,,11,15,,534.8 ,,694.3 ,,676.6 ,,44.6 ,,42.3 ,,690.4 ,,"3,491.2 ",
GA,Athens Transit System (ATS),,,,,,,,,,,,,,,,,,,,,
,,4047,A,DR,DO,3,4,,0.0 ,,78.7 ,Q,73.3 ,Q,7.0 ,Q,5.1 ,Q,10.2 ,,56.3 ,
,,4047,A,MB,DO,19,24,,740.1 ,,758.9 ,,740.1 ,,57.3 ,,56.1 ,,"1,482.7 ",,"4,907.6 ",
,,,,Total,,22,28,,740.1 ,,837.6 ,,813.4 ,,64.3 ,,61.2 ,,"1,492.9 ",,"4,963.9 ",
GA,Augusta Richmond County Transit Department (APT),,,,,,,,,,,,,,,,,,,,,
,,4023,A,DR,DO,6,6,,0.0 ,,115.9 ,,102.4 ,,13.0 ,,12.5 ,,17.1 ,,63.2 ,Q
,,4023,A,MB,DO,17,22,,675.7 ,,695.3 ,,672.9 ,,53.0 ,,51.1 ,,923.1 ,,"4,802.7 ",Q
,,,,Total,,23,28,,675.7 ,,811.3 ,,775.3 ,,66.1 ,,63.6 ,,940.2 ,,"4,865.9 ",
GA,Chatham Area Transit Authority (CAT),,,,,,,,,,,,,,,,,,,,,
,,4025,B,DR,PT,16,16,,0.0 ,,499.0 ,,481.5 ,,36.9 ,,35.9 ,,69.3 ,,523.7 ,
,,4025,B,FB,DO,2,3,,9.8 ,,9.8 ,,9.8 ,,5.7 ,,5.7 ,,367.5 ,,121.6 ,
,,4025,B,MB,DO,47,52,,"2,448.5 ",,"2,522.3 ",,"2,412.5 ",,192.8 ,,184.7 ,,"3,445.6 ",,"11,274.7 ",
,,,,Total,,65,71,,"2,458.3 ",,"3,031.2 ",,"2,903.9 ",,235.4 ,,226.4 ,,"3,882.4 ",,"11,920.0 ",
GA,City of Canton Transit,,,,,,,,,,,,,,,,,,,,,
,,4142,A,MB,DO,3,5,,88.9 ,,94.2 ,,88.9 ,,6.4 ,,5.9 ,,41.1 ,,246.8 ,
GA,City of Rome Transit Department (RTD),,,,,,,,,,,,,,,,,,,,,
,,4058,A,DR,DO,4,4,,0.0 ,,65.7 ,,64.8 ,,4.9 ,,4.1 ,,14.9 ,,63.0 ,
,,4058,A,MB,DO,24,28,,481.9 ,,483.2 ,,481.9 ,,26.2 ,,24.8 ,,815.6 ,,"8,216.0 ",
,,,,Total,,28,32,,481.9 ,,548.9 ,,546.7 ,,31.1 ,,28.9 ,,830.5 ,,"8,279.0 ",
GA,Cobb County Department of Transportation Authority (CCT),,,,,,,,,,,,,,,,,,,,,
,,4078,B,DR,PT,12,15,,0.0 ,,605.0 ,,447.6 ,,40.8 ,,33.0 ,,61.2 ,,650.2 ,
,,4078,B,MB,PT,54,73,,"2,602.2 ",,"2,888.8 ",,"2,601.0 ",,160.8 ,,145.7 ,,"3,793.3 ",,"32,769.7 ",
,,,,Total,,66,88,,"2,602.2 ",,"3,493.8 ",,"3,048.5 ",,201.6 ,,178.7 ,,"3,854.4 ",,"33,419.9 ",
GA,Douglas County Rideshare (Rideshare),,,,,,,,,,,,,,,,,,,,,
,,4082,A,VP,DO,35,43,,0.0 ,,591.3 ,,520.5 ,,16.7 ,,15.0 ,,95.0 ,,"2,799.6 ",
GA,Georgia Regional Transportation Authority (GRTA),,,,,,,,,,,,,,,,,,,,,
,,4135,B,DR,PT,4,6,,0.0 ,,252.8 ,Q,209.4 ,Q,17.0 ,N,12.0 ,Q,13.5 ,,217.6 ,
,,4135,B,MB,PT,58,72,,"2,353.3 ",,"2,814.8 ",,"2,164.6 ",,166.7 ,,136.6 ,,"2,070.3 ",,"17,652.5 ",
,,4135,B,VP,DO,55,62,,0.0 ,,654.0 ,,625.1 ,,13.3 ,,12.5 ,,148.1 ,,"5,505.3 ",Q
,,,,Total,,117,140,,"2,353.3 ",,"3,721.6 ",,"2,999.0 ",,196.9 ,,161.1 ,,"2,231.9 ",,"23,375.3 ",
GA,Gwinnett County Board of Commissioners,,,,,,,,,,,,,,,,,,,,,
,,4138,B,DR,PT,5,8,,0.0 ,,74.9 ,,38.9 ,,6.3 ,,5.0 ,,6.8 ,,23.2 ,
,,4138,B,MB,PT,57,60,,"2,152.9 ",,"3,103.4 ",,"2,158.0 ",,141.6 ,,123.7 ,,"1,637.2 ",,"34,570.6 ",
,,,,Total,,62,68,,"2,152.9 ",,"3,178.3 ",,"2,196.9 ",,147.9 ,,128.7 ,,"1,644.1 ",,"34,593.8 ",
GA,Macon-Bibb County Transit Authority,,,,,,,,,,,,,,,,,,,,,
,,4130,B,MB,DO,19,26,,"1,047.0 ",,"1,111.5 ",Q,"1,111.4 ",Q,77.7 ,Q,77.7 ,Q,"1,050.8 ",,"4,838.6 ",
GA,Metra Transit System (Metra),,,,,,,,,,,,,,,,,,,,,
,,4024,A,DR,DO,4,6,,0.0 ,,170.9 ,,165.9 ,,11.5 ,,11.2 ,,15.2 ,,126.1 ,
,,4024,A,MB,DO,17,36,,962.9 ,Q,964.9 ,,962.9 ,Q,66.0 ,,65.5 ,,"1,109.0 ",,"4,097.3 ",
,,,,Total,,21,42,,962.9 ,,"1,135.8 ",,"1,128.8 ",,77.6 ,,76.7 ,,"1,124.3 ",,"4,223.4 ",
GA,Metropolitan Atlanta Rapid Transit Authority (MARTA),,,,,,,,,,,,,,,,,,,,,
,,4022,A,DR,DO,98,110,,0.0 ,,"4,747.7 ",,"3,756.0 ",,277.4 ,,206.0 ,,336.0 ,,"4,312.5 ",
,,4022,A,HR,DO,182,336,,"21,506.9 ",,"23,771.9 ",,"22,980.5 ",,907.2 ,,874.8 ,,"70,984.1 ",,"481,149.5 ",
,,4022,A,MB,DO,464,556,,"21,736.6 ",,"25,079.1 ",,"21,756.7 ",,"1,953.5 ",,"1,798.4 ",,"71,065.8 ",,"231,030.8 ",
,,,,Total,,744,"1,002",,"43,243.5 ",,"53,598.7 ",,"48,493.2 ",,"3,138.1 ",,"2,879.2 ",,"142,385.9 ",,"716,492.8 ",
GA,"VPSI, Inc.",,,,,,,,,,,,,,,,,,,,,
,,4153,D,VP,DO,13,13,,0.0 ,,146.1 ,,146.1 ,,3.8 ,,3.8 ,,30.3 ,,805.8 ,
HI,City and County of Honolulu Department of Transportation Services (DTS),,,,,,,,,,,,,,,,,,,,,
,,9002,B,DR,DO,100,123,,0.0 ,,"5,013.6 ",,"4,035.8 ",,354.3 ,,283.3 ,,733.7 ,,"8,966.6 ",
,,9002,B,DR,PT,57,71,,0.0 ,,115.8 ,,115.8 ,,6.9 ,,6.9 ,,22.9 ,,124.7 ,
,,9002,B,MB,DO,416,525,,"18,474.3 ",,"21,558.1 ",,"18,388.9 ",,"1,492.9 ",,"1,365.1 ",,"67,406.8 ",,"291,109.9 ",
,,,,Total,,573,719,,"18,474.3 ",,"26,687.5 ",,"22,540.5 ",,"1,854.0 ",,"1,655.3 ",,"68,163.4 ",,"300,201.2 ",
HI,"Honolulu - VPSI, Inc.",,,,,,,,,,,,,,,,,,,,,
,,9176,D,VP,DO,199,254,,0.0 ,,"3,000.3 ",,"3,000.3 ",,98.8 ,,98.8 ,,494.2 ,Q,"10,959.5 ",
IA,Ames Transit Agency (CyRide),,,,,,,,,,,,,,,,,,,,,
,,7041,B,DR,PT,3,11,,0.0 ,,33.0 ,,31.5 ,,3.3 ,,3.2 ,,9.7 ,,23.8 ,
,,7041,B,MB,DO,46,55,,969.5 ,,"1,061.1 ",,"1,013.6 ",,99.0 ,,94.7 ,,"4,283.2 ",,"6,091.0 ",
,,,,Total,,49,66,,969.5 ,,"1,094.1 ",,"1,045.1 ",,102.3 ,,97.9 ,,"4,292.9 ",,"6,114.8 ",
IA,Bettendorf Transit System,,,,,,,,,,,,,,,,,,,,,
,,7007,B,DR,PT,1,2,,0.0 ,,36.7 ,,25.2 ,,3.9 ,,3.5 ,,5.5 ,,21.8 ,
,,7007,B,MB,DO,5,6,,311.8 ,,311.8 ,,311.8 ,,16.7 ,,16.7 ,,139.3 ,,540.9 ,
,,7007,B,MB,PT,2,2,,15.7 ,,17.1 ,,15.7 ,Q,1.0 ,,0.9 ,Q,5.4 ,,13.8 ,
,,,,Total,,8,10,,327.5 ,,365.6 ,,352.7 ,,21.6 ,,21.2 ,,150.2 ,,576.5 ,
IA,City of Dubuque (KeyLine),,,,,,,,,,,,,,,,,,,,,
,,7011,A,DR,DO,10,13,,0.0 ,,261.0 ,Q,261.0 ,Q,19.8 ,Q,19.8 ,Q,100.3 ,,0.0 ,W
,,7011,A,MB,DO,8,10,,295.0 ,,297.8 ,Q,295.0 ,,23.3 ,,23.1 ,,534.5 ,,"1,756.4 ",
,,,,Total,,18,23,,295.0 ,,558.8 ,,556.0 ,,43.0 ,,42.9 ,,634.9 ,,"1,756.4 ",Q
IA,Coralville Transit System,,,,,,,,,,,,,,,,,,,,,
,,7030,B,DR,PT,2,3,,0.0 ,,58.7 ,,57.8 ,,3.7 ,,3.6 ,,0.0 ,W,0.0 ,W
,,7030,B,MB,DO,6,9,,156.0 ,,175.0 ,,163.2 ,,14.8 ,,13.8 ,,0.0 ,W,0.0 ,W
,,,,Total,,8,12,,156.0 ,,233.8 ,,221.1 ,,18.5 ,,17.5 ,,0.0 ,,0.0 ,Q
IA,Davenport Public Transit (CITIBUS),,,,,,,,,,,,,,,,,,,,,
,,7009,B,DR,PT,4,6,,0.0 ,,121.8 ,Q,106.6 ,Q,11.1 ,Q,10.7 ,Q,25.9 ,,130.1 ,
,,7009,B,MB,DO,17,20,,712.9 ,,734.7 ,Q,712.8 ,Q,55.8 ,Q,53.4 ,Q,939.8 ,,"3,677.3 ",Q
,,,,Total,,21,26,,712.9 ,,856.5 ,,819.4 ,,66.9 ,,64.0 ,,965.6 ,,"3,807.4 ",
IA,Des Moines Metropolitan Transit Authority (Des Moines MTA),,,,,,,,,,,,,,,,,,,,,
,,7010,B,DR,DO,22,27,,0.0 ,,856.7 ,,728.4 ,,58.2 ,,50.0 ,,205.0 ,,"2,148.6 ",
,,7010,B,DR,PT,2,2,,0.0 ,,94.2 ,,94.2 ,,5.5 ,,5.5 ,,13.3 ,,94.2 ,
,,7010,B,MB,DO,94,113,,"2,107.8 ",,"2,461.9 ",,"2,131.9 ",,178.8 ,,156.6 ,,"3,809.6 ",,"14,867.5 ",
,,7010,B,VP,DO,65,81,,0.0 ,,"1,279.3 ",,"1,279.3 ",,31.2 ,,31.2 ,,196.9 ,,"8,259.0 ",
,,,,Total,,183,223,,"2,107.8 ",,"4,692.1 ",,"4,233.7 ",,273.8 ,,243.3 ,,"4,224.9 ",,"25,369.3 ",
IA,Five Seasons Transportation and Parking (FSTP),,,,,,,,,,,,,,,,,,,,,
,,7008,B,DR,PT,28,52,,0.0 ,,413.1 ,,396.3 ,,23.9 ,,22.6 ,,84.3 ,,589.6 ,
,,7008,B,MB,DO,33,52,,"1,034.4 ",,"1,037.1 ",,"1,005.2 ",,76.7 ,,74.6 ,,"1,047.8 ",,"4,400.7 ",
,,,,Total,,61,104,,"1,034.4 ",,"1,450.2 ",,"1,401.5 ",,100.6 ,,97.1 ,,"1,132.1 ",,"4,990.3 ",
IA,Iowa City Transit,,,,,,,,,,,,,,,,,,,,,
,,7018,B,DR,PT,9,10,,0.0 ,,207.1 ,,202.6 ,,17.7 ,,17.3 ,,58.9 ,,209.1 ,
,,7018,B,MB,DO,19,23,,576.3 ,,605.1 ,,575.9 ,,50.0 ,,48.0 ,,"1,516.6 ",,"3,022.5 ",
,,,,Total,,28,33,,576.3 ,,812.2 ,,778.4 ,,67.7 ,,65.4 ,,"1,575.4 ",,"3,231.7 ",
IA,Metropolitan Transit Authority of Black Hawk County,,,,,,,,,,,,,,,,,,,,,
,,7013,B,DR,DO,15,16,,0.0 ,,332.3 ,,258.4 ,,33.8 ,Q,19.9 ,,82.9 ,,339.0 ,
,,7013,B,DR,PT,11,12,,0.0 ,,146.1 ,,146.1 ,,7.1 ,,7.1 ,,35.8 ,,194.0 ,
,,7013,B,MB,DO,12,19,,528.5 ,,545.9 ,,528.5 ,,35.3 ,Q,33.3 ,,340.2 ,,443.1 ,Q
,,,,Total,,38,47,,528.5 ,,"1,024.3 ",,933.0 ,,76.1 ,,60.3 ,,458.9 ,,976.2 ,
IA,Sioux City Transit System (SCTS),,,,,,,,,,,,,,,,,,,,,
,,7012,B,DR,PT,5,8,,0.0 ,,141.3 ,,141.3 ,,16.5 ,Q,16.5 ,Q,39.3 ,,424.2 ,
,,7012,B,MB,DO,12,28,,491.2 ,,517.8 ,,491.2 ,,42.5 ,,40.2 ,,776.4 ,,"1,948.7 ",
,,,,Total,,17,36,,491.2 ,,659.1 ,,632.5 ,,59.0 ,,56.7 ,,815.7 ,,"2,373.0 ",
IA,University of Iowa (Cambus),,,,,,,,,,,,,,,,,,,,,
,,7019,A,DR,DO,3,4,,0.0 ,,59.1 ,,58.2 ,,10.0 ,,9.8 ,,11.1 ,,31.2 ,
,,7019,A,MB,DO,23,28,,677.9 ,,691.6 ,,677.6 ,,64.3 ,,63.4 ,,"3,572.0 ",,"4,287.9 ",
,,,,Total,,26,32,,677.9 ,,750.7 ,,735.8 ,,74.3 ,,73.2 ,,"3,583.1 ",,"4,319.1 ",
ID,City of Pocatello - Pocatello Regional Transit (PRT),,,,,,,,,,,,,,,,,,,,,
,,0022,A,DR,DO,6,8,,0.0 ,,186.8 ,,168.7 ,,15.9 ,,14.6 ,,43.0 ,,163.3 ,
,,0022,A,MB,DO,8,14,,260.2 ,,266.9 ,,260.0 ,,21.0 ,,20.7 ,,431.1 ,,"2,112.4 ",
,,,,Total,,14,22,,260.2 ,,453.7 ,,428.7 ,,36.9 ,,35.3 ,,474.1 ,,"2,275.8 ",
ID,ValleyRide (ValleyRide),,,,,,,,,,,,,,,,,,,,,
,,0011,B,DR,DO,7,8,,0.0 ,,234.4 ,,200.5 ,,16.8 ,,14.4 ,,34.6 ,,200.5 ,
,,0011,B,DR,PT,1,2,,0.0 ,,27.2 ,,15.9 ,,2.6 ,,1.7 ,,3.4 ,,15.9 ,
,,0011,B,MB,DO,30,39,,892.0 ,,"1,150.9 ",,891.8 ,,75.7 ,,65.7 ,,960.3 ,,"3,536.7 ",
,,0011,B,MB,PT,10,11,,380.6 ,,437.9 ,,380.6 ,,21.8 ,,19.0 ,,110.4 ,,"1,186.6 ",
,,,,Total,,48,60,,"1,272.6 ",,"1,850.3 ",,"1,488.9 ",,116.9 ,,100.8 ,,"1,108.7 ",,"4,939.7 ",
IL,Bloomington-Normal Public Transit System (B-NPTS),,,,,,,,,,,,,,,,,,,,,
,,5047,A,DR,DO,4,6,,0.0 ,,100.6 ,,99.7 ,,7.3 ,,7.0 ,,20.4 ,,98.6 ,
,,5047,A,MB,DO,21,29,,"1,195.3 ",,"1,248.7 ",,"1,206.7 ",,92.5 ,,90.2 ,,"1,294.2 ",,"4,804.6 ",
,,,,Total,,25,35,,"1,195.3 ",,"1,349.3 ",,"1,306.4 ",,99.7 ,,97.1 ,,"1,314.6 ",,"4,903.3 ",
IL,Champaign-Urbana Mass Transit District (C-U MTD),,,,,,,,,,,,,,,,,,,,,
,,5060,B,DR,DO,6,12,,0.0 ,,195.7 ,,164.4 ,,17.2 ,,15.7 ,,76.8 ,,112.7 ,
,,5060,B,DR,PT,9,9,,0.0 ,,80.2 ,,75.3 ,,10.8 ,,10.6 ,,29.4 ,,107.8 ,
,,5060,B,MB,DO,77,90,,"2,406.1 ",,"2,671.3 ",,"2,555.9 ",,224.9 ,,219.3 ,,"10,017.6 ",,"25,518.1 ",
,,,,Total,,92,111,,"2,406.1 ",,"2,947.2 ",,"2,795.7 ",,252.9 ,,245.6 ,,"10,123.8 ",,"25,738.7 ",
IL,Chicago Transit Authority (CTA),,,,,,,,,,,,,,,,,,,,,
,,5066,B,DR,PT,"1,286","1,496",,0.0 ,,"14,517.2 ",,"14,517.2 ",,"1,152.8 ",,"1,152.8 ",,"2,250.4 ",,"17,667.3 ",
,,5066,B,HR,DO,"1,002","1,190",,"67,515.9 ",,"69,561.3 ",,"68,920.6 ",,"3,942.0 ",,"3,697.6 ",,"186,759.5 ",,"1,136,464.6 ",
,,5066,B,MB,DO,"1,722","2,041",,"67,187.9 ",,"68,208.2 ",,"66,811.5 ",,"6,850.9 ",,"6,748.1 ",,"303,244.2 ",,"781,977.8 ",
,,,,Total,,"4,010","4,727",,"134,703.9 ",,"152,286.7 ",,"150,249.3 ",,"11,945.7 ",,"11,598.5 ",,"492,254.1 ",,"1,936,109.7 ",
IL,City of Danville/Danville Mass Transit (DMT),,,,,,,,,,,,,,,,,,,,,
,,5174,B,DR,PT,1,6,,0.0 ,,25.4 ,,25.4 ,,1.7 ,,1.7 ,,6.2 ,,24.4 ,
,,5174,B,MB,DO,8,11,,292.1 ,,293.6 ,,292.0 ,,16.2 ,,16.1 ,,341.9 ,,620.6 ,
,,,,Total,,9,17,,292.1 ,,319.0 ,,317.4 ,,17.8 ,,17.7 ,,348.0 ,,644.9 ,
IL,Decatur Public Transit System (DPTS),,,,,,,,,,,,,,,,,,,,,
,,5061,B,DR,DO,5,6,,0.0 ,,111.8 ,,63.5 ,,9.8 ,,7.0 ,,15.8 ,,63.5 ,
