Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,"Primary UZA
 Population",Agency VOMS,Mode,TOS,Mode VOMS,Ratios:,Fare Revenues per Unlinked Passenger Trip ,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,"Cost per
 Hour",Cost per Hour Questionable,Passengers per Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Source Data:,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Any data questionable?,,,,0,,
"City of Fort Collins, dba: Transfort",Fort Collins,CO,8011,80011,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"264,465 ",55,MB,DO,32,,$0.59 ,,0.14 ,,$122.71 ,,30.2 ,,$4.06 ,,$1.33 ,,,"$1,758,791 ",,"$12,176,338 ",,"3,000,665 ",,"99,225 ",,"9,132,496 ",,"1,297,299 ",,No,,,,,,
Alternativa de Transporte Integrado -ATI,San Juan,PR,4094,40094,State Government Unit or Department of Transportation,Full Reporter,"2,148,346 ",55,HR,PT,32,,$1.30 ,,0.11 ,,$622.29 ,,52.3 ,,$11.90 ,,$2.48 ,,,"$6,943,242 ",,"$63,601,453 ",,"5,345,703 ",,"102,205 ",,"25,647,958 ",,"1,860,503 ",,No,,,,,,
Alternativa de Transporte Integrado -ATI,San Juan,PR,4094,40094,State Government Unit or Department of Transportation,Full Reporter,"2,148,346 ",55,MB,PT,23,,$0.46 ,,0.07 ,,$129.88 ,,19.8 ,,$6.55 ,,$1.84 ,,,"$675,563 ",,"$9,706,548 ",,"1,482,803 ",,"74,735 ",,"5,263,951 ",,"797,577 ",,No,,,,,,
"City of Fort Collins, dba: Transfort",Fort Collins,CO,8011,80011,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"264,465 ",55,DR,PT,2,,$2.50 ,,0.19 ,,$73.72 ,,5.6 ,,$13.20 ,,$1.26 ,,,"$19,915 ",,"$105,198 ",,"7,970 ",,"1,427 ",,"83,466 ",,"15,937 ",,No,,,,,,
"City of Fort Collins, dba: Transfort",Fort Collins,CO,8011,80011,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"264,465 ",55,MB,PT,2,,$0.00 ,,0.00 ,,$62.50 ,,7.0 ,,$8.87 ,,$2.39 ,,,$0 ,,"$166,250 ",,"18,752 ",,"2,660 ",,"69,679 ",,"37,165 ",,No,,,,,,
"City of Fort Collins, dba: Transfort",Fort Collins,CO,8011,80011,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"264,465 ",55,DT,PT,13,,$2.38 ,,0.06 ,,$74.18 ,,1.9 ,,$40.03 ,,$8.61 ,,,"$73,550 ",,"$1,236,362 ",,"30,885 ",,"16,668 ",,"143,524 ",,"211,795 ",,No,,,,,,
"Broome County, dba: Department of Transportation/BC Transit",Vestal,NY,2003,20003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"158,084 ",55,DR,PT,10,,$2.67 ,,0.12 ,,$58.15 ,,2.6 ,,$22.68 ,,$3.13 ,,,"$142,229 ",,"$1,206,408 ",,"53,188 ",,"20,745 ",,"385,542 ",,"267,384 ",,No,,,,,,
Northwest Alabama Council of Local Governments,Muscle Shoals,AL,4068,40068,"MPO, COG or Other Planning Agency",Full Reporter,"77,074 ",54,DR,DO,44,,$5.04 ,,0.38 ,,$37.55 ,,2.8 ,,$13.23 ,,$1.29 ,,,"$451,446 ",,"$1,185,708 ",,"89,614 ",,"31,580 ",,"916,751 ",,"431,645 ",,No,,,,,,
"St. Cloud Metropolitan Transit Commission, dba: Metro Bus",St. Cloud,MN,5028,50028,Independent Public Agency or Authority of Transit Service,Full Reporter,"110,621 ",54,CB,DO,4,,$1.74 ,,0.08 ,,$164.87 ,,8.0 ,,$20.58 ,,$0.75 ,,,"$81,974 ",,"$970,085 ",,"47,147 ",,"5,884 ",,"1,293,261 ",,"174,446 ",,No,,,,,,
Greater Roanoke Transit Company,Roanoke,VA,3007,30007,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"210,111 ",54,MB,DO,37,,$0.93 ,,0.22 ,,$71.78 ,,16.7 ,,$4.29 ,,$0.76 ,,,"$1,762,425 ",,"$8,131,979 ",,"1,895,355 ",,"113,283 ",,"10,765,616 ",,"1,877,977 ",,No,,,,,,
"St. Cloud Metropolitan Transit Commission, dba: Metro Bus",St. Cloud,MN,5028,50028,Independent Public Agency or Authority of Transit Service,Full Reporter,"110,621 ",54,MB,DO,27,,$0.67 ,,0.11 ,,$89.53 ,,15.2 ,,$5.91 ,,$1.93 ,,,"$986,338 ",,"$8,753,854 ",,"1,481,377 ",,"97,776 ",,"4,547,186 ",,"1,278,118 ",,No,,,,,,
"St. Cloud Metropolitan Transit Commission, dba: Metro Bus",St. Cloud,MN,5028,50028,Independent Public Agency or Authority of Transit Service,Full Reporter,"110,621 ",54,DR,DO,23,,$2.57 ,,0.09 ,,$86.72 ,,3.0 ,,$28.80 ,,$6.72 ,,,"$391,209 ",,"$4,385,227 ",,"152,239 ",,"50,565 ",,"652,597 ",,"662,468 ",,No,,,,,,
Greater Roanoke Transit Company,Roanoke,VA,3007,30007,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"210,111 ",54,DR,PT,17,,$3.14 ,,0.11 ,,$58.85 ,,2.0 ,,$29.33 ,,$3.13 ,,,"$237,065 ",,"$2,212,938 ",,"75,452 ",,"37,606 ",,"706,110 ",,"706,006 ",,No,,,,,,
Northwest Alabama Council of Local Governments,Muscle Shoals,AL,4068,40068,"MPO, COG or Other Planning Agency",Full Reporter,"77,074 ",54,DT,PT,10,,$0.00 ,,0.00 ,,$33.93 ,,4.2 ,,$8.12 ,,$1.39 ,,,$0 ,,"$153,910 ",,"18,963 ",,"4,536 ",,"110,400 ",,"88,308 ",,No,,,,,,
Paducah Transit Authority,Paducah,KY,4R04-012,4R04-41013,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 ,53,MB,DO,7,,$0.61 ,,0.13 ,,$57.48 ,,12.4 ,,$4.64 ,,$0.00 ,,,"$108,707 ",,"$829,462 ",,"178,761 ",,"14,431 ",,0 ,,"219,110 ",,No,,,,,,
Greater New Haven Transit District,Hamden,CT,1049,10049,Independent Public Agency or Authority of Transit Service,Full Reporter,"562,839 ",53,DR,DO,53,,$0.94 ,,0.02 ,,$82.65 ,,1.8 ,,$46.94 ,,$6.16 ,,,"$219,160 ",,"$10,907,372 ",,"232,347 ",,"131,972 ",,"1,770,804 ",,"1,820,203 ",,No,,,,,,
Paducah Transit Authority,Paducah,KY,4R04-012,4R04-41013,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 ,53,DR,DO,46,,$1.49 ,,0.06 ,,$44.43 ,,1.8 ,,$25.36 ,,$0.00 ,,,"$146,750 ",,"$2,489,033 ",,"98,167 ",,"56,027 ",,0 ,,"1,068,722 ",,No,,,,,,
"Western Piedmont Regional Transit Authority , dba: dba: Greenway Public Transportation",Conover,NC,4172,40172,Independent Public Agency or Authority of Transit Service,Full Reporter,"212,195 ",53,DR,DO,43,,$0.81 ,,0.02 ,,$65.04 ,,2.0 ,,$32.95 ,,$3.54 ,,,"$83,903 ",,"$3,419,119 ",,"103,773 ",,"52,570 ",,"966,149 ",,"900,314 ",,No,,,,,,
"Endless Mountains Transportation Authority, dba: BeST Transit",Athens,PA,3R04-017,3R04-30170,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 ,53,DR,DO,42,,$34.18 ,,0.83 ,,$58.09 ,,1.4 ,,$41.10 ,,$0.00 ,,,"$2,563,094 ",,"$3,082,130 ",,"74,994 ",,"53,056 ",,0 ,,"1,353,027 ",,No,,,,,,
"Transit Joint Powers Authority for Merced County, dba: Merced The Bus",Merced,CA,9173,90173,Independent Public Agency or Authority of Transit Service,Full Reporter,"136,969 ",53,MB,PT,38,,$1.25 ,,0.13 ,,$76.20 ,,7.8 ,,$9.74 ,,$1.57 ,,,"$1,125,835 ",,"$8,755,587 ",,"898,784 ",,"114,903 ",,"5,586,358 ",,"1,738,932 ",,No,,,,,,
South Bend Public Transportation Corporation,South Bend,IN,5052,50052,Independent Public Agency or Authority of Transit Service,Full Reporter,"278,165 ",53,MB,DO,35,,$0.75 ,,0.12 ,,$96.37 ,,15.7 ,,$6.12 ,,$1.87 ,W,,"$1,138,507 ",,"$9,242,961 ",,"1,510,091 ",,"95,913 ",,"4,941,184 ",W,"1,303,386 ",,Yes,,,,,,
Cambria County Transit Authority,Johnstown,PA,3012,30012,Independent Public Agency or Authority of Transit Service,Full Reporter,"69,014 ",53,MB,DO,32,,$0.82 ,,0.11 ,,$103.21 ,,14.0 ,,$7.40 ,,$2.14 ,,,"$895,025 ",,"$8,092,941 ",,"1,094,056 ",,"78,416 ",,"3,776,854 ",,"1,037,387 ",,No,,,,,,
"City of Everett, dba: EVERETT TRANSIT SYSTEM",Everett,WA,0005,00005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ",53,MB,DO,31,,$1.05 ,,0.11 ,,$148.92 ,,15.6 ,,$9.57 ,,$2.51 ,,,"$1,679,854 ",,"$15,385,230 ",,"1,606,899 ",,"103,309 ",,"6,118,032 ",,"1,195,418 ",,No,,,,,,
"City of Everett, dba: EVERETT TRANSIT SYSTEM",Everett,WA,0005,00005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ",53,DR,DO,22,,$1.46 ,,0.03 ,,$143.06 ,,2.6 ,,$55.98 ,,$10.54 ,,,"$183,038 ",,"$7,003,707 ",,"125,102 ",,"48,955 ",,"664,754 ",,"561,821 ",,No,,,,,,
Cambria County Transit Authority,Johnstown,PA,3012,30012,Independent Public Agency or Authority of Transit Service,Full Reporter,"69,014 ",53,IP,DO,2,,$1.93 ,,0.16 ,,$746.24 ,,63.4 ,,$11.77 ,,$69.24 ,,,"$127,299 ",,"$774,602 ",,"65,804 ",,"1,038 ",,"11,187 ",,"2,632 ",,No,,,,,,
Cambria County Transit Authority,Johnstown,PA,3012,30012,Independent Public Agency or Authority of Transit Service,Full Reporter,"69,014 ",53,DR,DO,19,,$17.31 ,,0.58 ,,$78.27 ,,2.6 ,,$29.90 ,,$2.85 ,,,"$1,050,397 ",,"$1,814,542 ",,"60,678 ",,"23,182 ",,"637,119 ",,"388,664 ",,No,,,,,,
South Bend Public Transportation Corporation,South Bend,IN,5052,50052,Independent Public Agency or Authority of Transit Service,Full Reporter,"278,165 ",53,DR,DO,18,,$1.84 ,,0.08 ,,$68.26 ,,2.9 ,,$23.30 ,,$3.02 ,,,"$158,740 ",,"$2,005,782 ",,"86,081 ",,"29,385 ",,"664,199 ",,"389,104 ",,No,,,,,,
"Transit Joint Powers Authority for Merced County, dba: Merced The Bus",Merced,CA,9173,90173,Independent Public Agency or Authority of Transit Service,Full Reporter,"136,969 ",53,DR,PT,15,,$3.41 ,,0.08 ,,$75.49 ,,1.8 ,,$42.15 ,,$6.62 ,,,"$177,382 ",,"$2,189,560 ",,"51,946 ",,"29,004 ",,"330,512 ",,"393,036 ",,No,,,,,,
"Endless Mountains Transportation Authority, dba: BeST Transit",Athens,PA,3R04-017,3R04-30170,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 ,53,MB,DO,11,,$0.56 ,,0.04 ,,$80.69 ,,5.0 ,,$16.10 ,,$0.00 ,,,"$57,954 ",,"$1,653,678 ",,"102,702 ",,"20,495 ",,0 ,,"443,808 ",,No,,,,,,
"Western Piedmont Regional Transit Authority , dba: dba: Greenway Public Transportation",Conover,NC,4172,40172,Independent Public Agency or Authority of Transit Service,Full Reporter,"212,195 ",53,MB,DO,10,,$0.48 ,,0.04 ,,$70.41 ,,6.1 ,,$11.61 ,,$2.10 ,,,"$67,320 ",,"$1,631,576 ",,"140,553 ",,"23,173 ",,"778,637 ",,"392,834 ",,No,,,,,,
Southwestern Pennsylvania Commission,Pittsburgh,PA,3078,30078,"MPO, COG or Other Planning Agency",Full Reporter,"1,733,853 ",52,VP,PT,52,,$2.60 ,,0.99 ,,$19.09 ,,7.3 ,,$2.63 ,,$0.08 ,,,"$399,819 ",,"$403,694 ",,"153,697 ",,"21,145 ",,"4,930,110 ",,"733,343 ",,No,,,,,,
Bay Metropolitan Transit Authority,Bay City,MI,5029,50029,Independent Public Agency or Authority of Transit Service,Full Reporter,"70,585 ",52,MB,DO,38,,$0.93 ,,0.08 ,,$123.96 ,,10.8 ,,$11.46 ,,$1.71 ,,,"$411,760 ",,"$5,071,432 ",,"442,368 ",,"40,912 ",,"2,960,513 ",,"822,359 ",,No,,,,,,
Western Reserve Transit Authority,Youngstown,OH,5024,50024,Independent Public Agency or Authority of Transit Service,Full Reporter,"387,550 ",52,MB,DO,37,,$0.63 ,,0.09 ,,$97.08 ,,14.1 ,,$6.90 ,,$1.67 ,,,"$928,257 ",,"$10,124,802 ",,"1,468,265 ",,"104,298 ",,"6,049,251 ",,"1,401,138 ",,No,,,,,,
"County of Rockland , dba: Public Transportation - Transport of Rockland",Pomona,NY,2084,20084,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"18,351,295 ",52,MB,PT,33,,$1.37 ,,0.15 ,,$130.64 ,,14.6 ,,$8.97 ,,$1.18 ,,,"$2,123,048 ",,"$13,932,831 ",,"1,553,206 ",,"106,648 ",,"11,836,174 ",,"1,917,847 ",,No,,,,,,
"County of Rockland , dba: Public Transportation - Transport of Rockland",Pomona,NY,2084,20084,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"18,351,295 ",52,DR,DO,19,,$2.29 ,,0.04 ,,$132.07 ,,2.3 ,,$58.49 ,,$6.85 ,,,"$131,098 ",,"$3,350,952 ",,"57,293 ",,"25,372 ",,"488,907 ",,"482,419 ",,No,,,,,,
Western Reserve Transit Authority,Youngstown,OH,5024,50024,Independent Public Agency or Authority of Transit Service,Full Reporter,"387,550 ",52,DR,DO,15,,$2.02 ,,0.05 ,,$59.70 ,,1.3 ,,$44.74 ,,$5.57 ,,,"$83,969 ",,"$1,860,312 ",,"41,580 ",,"31,159 ",,"333,887 ",,"359,264 ",,No,,,,,,
Bay Metropolitan Transit Authority,Bay City,MI,5029,50029,Independent Public Agency or Authority of Transit Service,Full Reporter,"70,585 ",52,DR,DO,14,,$2.11 ,,0.04 ,,$109.30 ,,2.2 ,,$50.66 ,,$5.70 ,,,"$142,231 ",,"$3,422,080 ",,"67,549 ",,"31,308 ",,"600,339 ",,"502,689 ",,No,,,,,,
Alamo Area Council of Governments,San Antonio ,TX,6130,60130,"MPO, COG or Other Planning Agency",Full Reporter,"1,758,210 ",51,DR,DO,51,,$2.07 ,,0.06 ,,$59.40 ,,1.7 ,,$33.96 ,,$3.17 ,,,"$271,221 ",,"$4,441,610 ",,"130,793 ",,"74,777 ",,"1,401,699 ",,"1,233,867 ",,No,,,,,,
River Bend Transit,Davenport,IA,7049,70049,Private-Non-Profit Corporation,Full Reporter,"280,051 ",51,DR,DO,40,,$6.64 ,,0.37 ,,$66.24 ,,3.7 ,,$17.73 ,,$2.16 ,,,"$772,324 ",,"$2,061,756 ",,"116,263 ",,"31,125 ",,"952,645 ",,"438,884 ",,No,,,,,,
Rockford Mass Transit District,Rockford,IL,5058,50058,Independent Public Agency or Authority of Transit Service,Full Reporter,"296,863 ",51,DR,DO,27,,$2.03 ,,0.07 ,,$69.82 ,,2.2 ,,$31.10 ,,$3.87 ,,,"$266,283 ",,"$4,082,152 ",,"131,278 ",,"58,463 ",,"1,055,674 ",,"890,502 ",,No,,,,,,
Rockford Mass Transit District,Rockford,IL,5058,50058,Independent Public Agency or Authority of Transit Service,Full Reporter,"296,863 ",51,MB,DO,24,,$0.65 ,,0.08 ,,$131.19 ,,16.0 ,,$8.18 ,,$1.88 ,,,"$981,020 ",,"$12,421,287 ",,"1,519,254 ",,"94,682 ",,"6,623,947 ",,"1,210,112 ",,No,,,,,,
River Bend Transit,Davenport,IA,7049,70049,Private-Non-Profit Corporation,Full Reporter,"280,051 ",51,DR,PT,10,,$1.54 ,,0.08 ,,$43.93 ,,2.3 ,,$18.78 ,,$2.80 ,,,"$70,246 ",,"$855,319 ",,"45,536 ",,"19,470 ",,"304,955 ",,"258,656 ",,No,,,,,,
River Bend Transit,Davenport,IA,7049,70049,Private-Non-Profit Corporation,Full Reporter,"280,051 ",51,MB,PT,1,,$0.13 ,,0.01 ,,$43.40 ,,3.0 ,,$14.41 ,,$2.01 ,,,$834 ,,"$92,614 ",,"6,428 ",,"2,134 ",,"45,998 ",,"36,229 ",,No,,,,,,
"Little Dixie Community Action Agency, Inc.",Hugo,OK,6R04-002,6R04-60191,Private-Non-Profit Corporation,Rural Reporter,0 ,50,DR,DO,50,,$1.05 ,,0.06 ,,$38.66 ,,2.1 ,,$18.30 ,,$0.00 ,,,"$91,030 ",,"$1,589,941 ",,"86,882 ",,"41,128 ",,0 ,,"582,275 ",,No,,,,,,
Northeast Mississippi Community Services,Booneville,MS,4R05-014,4R05-41039,Private-Non-Profit Corporation,Rural Reporter,0 ,50,DR,DO,50,,$0.62 ,,0.04 ,,$85.44 ,,5.7 ,,$14.96 ,,$0.00 ,,,"$69,975 ",,"$1,699,690 ",,"113,654 ",,"19,894 ",,0 ,,"294,694 ",,No,,,,,,
"North Front Range Transportation and Air Quality Planning Council, dba: North Front Range MPO / VanGo",Fort Collins,CO,8106,80106,"MPO, COG or Other Planning Agency",Full Reporter,"264,465 ",50,VP,DO,50,,$7.10 ,,0.50 ,,$38.39 ,,2.7 ,,$14.12 ,,$0.31 ,,,"$454,151 ",,"$903,483 ",,"63,994 ",,"23,535 ",,"2,941,112 ",,"1,131,026 ",,No,,,,,,
"City of Eau Claire, dba: Eau Claire Transit",Eau Claire,WI,5099,50099,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"102,852 ",50,DR,PT,34,,$5.94 ,,0.30 ,,$52.10 ,,2.6 ,,$20.06 ,,$2.14 ,,,"$296,628 ",,"$1,001,442 ",,"49,920 ",,"19,222 ",,"467,131 ",,"396,080 ",,No,,,,,,
Saginaw Transit Authority Regional Service,Saginaw,MI,5039,50039,Independent Public Agency or Authority of Transit Service,Full Reporter,"126,265 ",50,MB,DO,30,,$1.74 ,,0.16 ,,$117.23 ,,10.8 ,,$10.81 ,,$1.66 ,,,"$975,269 ",,"$6,055,643 ",,"559,991 ",,"51,654 ",,"3,656,713 ",,"1,055,254 ",,No,,,,,,
San Luis Obispo Regional Transit Authority,San Luis Obispo,CA,9206,90206,Independent Public Agency or Authority of Transit Service,Full Reporter,"59,219 ",50,DR,DO,25,,$3.37 ,,0.05 ,,$113.68 ,,1.8 ,,$64.05 ,,$7.57 ,,,"$190,315 ",,"$3,621,604 ",,"56,546 ",,"31,857 ",,"478,425 ",,"482,764 ",,No,,,,,,
San Luis Obispo Regional Transit Authority,San Luis Obispo,CA,9206,90206,Independent Public Agency or Authority of Transit Service,Full Reporter,"59,219 ",50,MB,DO,25,,$1.29 ,,0.18 ,,$127.78 ,,18.2 ,,$7.01 ,,$0.64 ,,,"$1,337,263 ",,"$7,284,538 ",,"1,039,546 ",,"57,008 ",,"11,471,361 ",,"1,361,513 ",,No,,,,,,
Saginaw Transit Authority Regional Service,Saginaw,MI,5039,50039,Independent Public Agency or Authority of Transit Service,Full Reporter,"126,265 ",50,DR,DO,20,,$5.35 ,,0.11 ,,$119.99 ,,2.5 ,,$48.43 ,,$9.99 ,,,"$183,032 ",,"$1,657,622 ",,"34,226 ",,"13,815 ",,"165,859 ",,"129,333 ",Q,Yes,,,,,,
"City of Eau Claire, dba: Eau Claire Transit",Eau Claire,WI,5099,50099,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"102,852 ",50,MB,DO,16,,$0.97 ,,0.20 ,,$87.03 ,,18.1 ,,$4.82 ,,$1.88 ,,,"$841,543 ",,"$4,162,698 ",,"863,647 ",,"47,833 ",,"2,211,451 ",,"704,495 ",,No,,,,,,
"Town of Blacksburg, dba: Blacksburg Transit",Blacksburg,VA,3091,30091,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"88,542 ",49,DR,DO,9,,$0.43 ,,0.01 ,,$76.44 ,,1.9 ,,$39.60 ,,$12.64 ,,,"$12,094 ",,"$1,126,722 ",,"28,453 ",,"14,739 ",,"89,122 ",,"136,606 ",,No,,,,,,
Central Oregon Intergovernmental Council,Bend,OR,0057,00057,"MPO, COG or Other Planning Agency",Full Reporter,"83,794 ",49,DR,PT,9,,$1.37 ,,0.04 ,,$77.46 ,,2.4 ,,$32.19 ,,$11.88 ,,,"$50,907 ",,"$1,194,636 ",,"37,110 ",,"15,423 ",,"100,568 ",,"177,297 ",,No,,,,,,
Yolo County Transportation District,Woodland,CA,9090,90090,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,723,634 ",49,DR,PT,8,,$4.74 ,,0.06 ,,$112.89 ,,1.5 ,,$76.69 ,,$5.42 ,,,"$113,530 ",,"$1,836,943 ",,"23,953 ",,"16,272 ",,"339,023 ",,"306,994 ",,No,,,,,,
"City of Gardena, dba: GTrans",Gardena,CA,9042,90042,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"12,150,996 ",49,DR,DO,6,,$0.50 ,,0.01 ,,$99.85 ,,2.5 ,,$39.74 ,,$11.39 ,,,"$11,364 ",,"$896,849 ",,"22,567 ",,"8,982 ",,"78,741 ",,"63,942 ",,No,,,,,,
Green Mountain Community Network,Bennington,VT,1R06-014,1R06-10151,Private-Non-Profit Corporation,Rural Reporter,0 ,49,MB,DO,6,,$0.27 ,,0.03 ,,$56.25 ,,6.6 ,,$8.58 ,,$0.00 ,,,"$23,397 ",,"$750,131 ",,"87,454 ",,"13,336 ",,0 ,,"262,188 ",,No,,,,,,
Lower Rio Grande Valley Development Council,Weslaco,TX,6090,60090,"MPO, COG or Other Planning Agency",Full Reporter,"728,825 ",49,DR,DO,5,,$0.00 ,,0.00 ,,$80.45 ,,2.6 ,,$30.63 ,,$1.83 ,,,$0 ,,"$548,423 ",,"17,904 ",,"6,817 ",,"299,176 ",,"135,991 ",,No,,,,,,
"Inca Community Services, Inc.",Atoka,OK,6R04-003,6R04-60205,Private-Non-Profit Corporation,Rural Reporter,0 ,49,DR,DO,49,,$0.43 ,,0.04 ,,$31.44 ,,3.0 ,,$10.63 ,,$0.00 ,,,"$63,295 ",,"$1,552,247 ",,"146,001 ",,"49,368 ",,0 ,,"711,979 ",,No,,,,,,
10-15 Regional Transit Agency,Ottumwa,IA,7R01-015,7R01-70242,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 ,49,DR,DO,49,,$0.72 ,,0.05 ,,$33.37 ,,2.4 ,,$13.71 ,,$0.00 ,,,"$151,459 ",,"$2,903,338 ",,"211,790 ",,"87,003 ",,0 ,,"1,782,030 ",,No,,,,,,
Lower Rio Grande Valley Development Council,Weslaco,TX,6090,60090,"MPO, COG or Other Planning Agency",Full Reporter,"728,825 ",49,MB,DO,44,,$0.00 ,,0.00 ,,$72.62 ,,7.3 ,,$9.91 ,,$1.12 ,,,$0 ,,"$7,937,097 ",,"801,305 ",,"109,298 ",,"7,075,523 ",,"2,445,997 ",,No,,,,,,
Green Mountain Community Network,Bennington,VT,1R06-014,1R06-10151,Private-Non-Profit Corporation,Rural Reporter,0 ,49,DR,DO,43,,$0.00 ,,0.00 ,,$42.27 ,,1.7 ,,$24.90 ,,$0.00 ,,,$0 ,,"$2,805,781 ",,"112,700 ",,"66,372 ",,0 ,,"1,697,116 ",,No,,,,,,
"City of Gardena, dba: GTrans",Gardena,CA,9042,90042,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"12,150,996 ",49,MB,DO,43,,$0.77 ,,0.10 ,,$164.09 ,,21.4 ,,$7.68 ,,$2.02 ,,,"$2,235,072 ",,"$22,418,033 ",,"2,920,856 ",,"136,619 ",,"11,124,485 ",,"1,691,303 ",,No,,,,,,
Yolo County Transportation District,Woodland,CA,9090,90090,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,723,634 ",49,MB,PT,41,,$1.76 ,,0.18 ,,$115.67 ,,11.7 ,,$9.85 ,,$0.93 ,,,"$2,089,147 ",,"$11,696,139 ",,"1,187,499 ",,"101,114 ",,"12,623,114 ",,"1,967,606 ",,No,,,,,,
"Town of Blacksburg, dba: Blacksburg Transit",Blacksburg,VA,3091,30091,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"88,542 ",49,MB,DO,40,,$0.52 ,,0.30 ,,$81.03 ,,46.8 ,,$1.73 ,,$1.01 ,,,"$2,401,606 ",,"$8,009,532 ",,"4,630,600 ",,"98,841 ",,"7,913,570 ",,"1,011,220 ",,No,,,,,,
"Laredo Transit Management, Inc., dba: El Metro",Laredo,TX,6009,60009,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"235,730 ",49,MB,DO,35,,$1.47 ,,0.28 ,,$89.53 ,,16.9 ,,$5.30 ,,$1.56 ,,,"$3,700,097 ",,"$13,344,477 ",,"2,517,520 ",,"149,048 ",,"8,534,393 ",,"1,703,477 ",,No,,,,,,
Link Transit,Wenatchee,WA,0043,00043,Independent Public Agency or Authority of Transit Service,Full Reporter,"67,227 ",49,MB,DO,33,,$0.60 ,,0.05 ,,$135.81 ,,10.7 ,,$12.69 ,,$1.12 ,,,"$583,264 ",,"$12,428,376 ",,"979,166 ",,"91,510 ",,"11,059,820 ",,"1,883,755 ",,No,,,,,,
"Fort Bend County, Texas, dba: Fort Bend County Public Transportation",Richmond,TX,6103,60103,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"4,944,332 ",49,MB,PT,3,,$0.57 ,,0.01 ,,$88.16 ,,1.5 ,,$59.74 ,,$13.43 ,W,,"$6,284 ",,"$661,693 ",,"11,076 ",,"7,506 ",,"49,288 ",W,"77,842 ",,Yes,,,,,,
"Collier County, dba: Collier Area Transit",Naples,FL,4140,40140,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"310,298 ",49,DR,PT,28,,$2.31 ,,0.05 ,,$63.88 ,,1.5 ,,$42.96 ,,$3.43 ,,,"$250,373 ",,"$4,648,996 ",,"108,214 ",,"72,780 ",,"1,355,296 ",,"1,406,149 ",,No,,,,,,
Portage Area Regional Transportation Authority,Kent,OH,5021,50021,Independent Public Agency or Authority of Transit Service,Full Reporter,"569,499 ",49,DR,DO,26,,$6.18 ,,0.14 ,,$99.08 ,,2.2 ,,$44.35 ,,$5.16 ,,,"$465,605 ",,"$3,341,790 ",,"75,344 ",,"33,728 ",,"647,862 ",,"643,299 ",,No,,,,,,
"Fort Bend County, Texas, dba: Fort Bend County Public Transportation",Richmond,TX,6103,60103,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"4,944,332 ",49,DR,PT,26,,$0.74 ,,0.02 ,,$95.49 ,,2.5 ,,$37.97 ,,$2.80 ,W,,"$99,381 ",,"$5,102,214 ",,"134,378 ",,"53,430 ",,"1,822,568 ",W,"1,093,695 ",,Yes,,,,,,
Portage Area Regional Transportation Authority,Kent,OH,5021,50021,Independent Public Agency or Authority of Transit Service,Full Reporter,"569,499 ",49,MB,DO,23,,$2.20 ,,0.41 ,,$89.53 ,,16.7 ,,$5.36 ,,$2.04 ,,,"$2,379,031 ",,"$5,787,602 ",,"1,080,782 ",,"64,644 ",,"2,842,727 ",,"834,852 ",,No,,,,,,
