State,Name,ID,Org Type,SSW,Urbanized Area,UZA Population,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Unlinked Passenger Trips,,Passenger Miles,,,
CA,San Joaquin Regional Transit District(RTD),9012,Authority,N,"Stockton, CA","370,583",DT,PT, 18 , 18 ,, -   ,, 227.9 ,, 227.9 ,, 10.5 ,, 10.5 ,, 36.4 ,, 232.1 ,,,
CA,San Joaquin Regional Transit District(RTD),9012,Authority,N,"Stockton, CA","370,583",CB,PT, 13 , 22 ,, 489.0 ,, 601.8 ,, 487.8 ,, 24.3 ,, 17.8 ,, 213.2 ,," 9,803.5 ",,,
CA,San Joaquin Regional Transit District(RTD),9012,Authority,N,"Stockton, CA","370,583",MB,DO, 51 , 60 ,," 1,507.4 ",," 1,621.2 ",," 1,503.5 ",, 136.0 ,, 127.3 ,," 3,597.6 ",," 12,276.4 ",,,
CA,San Joaquin Regional Transit District(RTD),9012,Authority,N,"Stockton, CA","370,583",DR,PT, 2 , 2 ,, -   ,, 2.6 ,, 1.2 ,, 0.1 ,, 0.1 ,, 0.1 ,, 0.9 ,,,
CA,San Joaquin Regional Transit District(RTD),9012,Authority,N,"Stockton, CA","370,583",MB,PT, 24 , 29 ,, 723.0 ,, 780.6 ,, 629.6 ,, 48.3 ,, 42.7 ,, 416.0 ,," 1,775.1 ",,,
CA,San Joaquin Regional Transit District(RTD),9012,Authority,N,"Stockton, CA","370,583",Total,, 108 , 131 ,," 2,719.5 ",," 3,234.2 ",," 2,850.0 ",, 219.2 ,, 198.4 ,," 4,263.3 ",," 24,087.9 ",,,
CA,San Luis Obispo Regional Transit Authority(SLORTA),9206,Authority,N,"San Luis Obispo, CA","59,219",CB,DO, 1 , 2 ,, 51.3 ,, 52.7 ,, 51.3 ,, 1.3 ,, 1.0 ,, 9.2 ,, 224.9 ,,,
CA,San Luis Obispo Regional Transit Authority(SLORTA),9206,Authority,N,"San Luis Obispo, CA","59,219",MB,DO, 19 , 25 ,," 1,196.7 ",," 1,494.6 ",," 1,198.0 ",, 56.7 ,, 45.5 ,, 980.2 ,," 13,795.7 ",,,
CA,San Luis Obispo Regional Transit Authority(SLORTA),9206,Authority,N,"San Luis Obispo, CA","59,219",DR,DO, 16 , 23 ,, -   ,, 633.0 ,, 540.7 ,, 33.5 ,, 28.7 ,, 49.0 ,, 459.2 ,,,
CA,San Luis Obispo Regional Transit Authority(SLORTA),9206,Authority,N,"San Luis Obispo, CA","59,219",Total,, 36 , 50 ,," 1,248.0 ",," 2,180.3 ",," 1,790.0 ",, 91.6 ,, 75.2 ,," 1,038.4 ",," 14,479.8 ",,,
CA,San Mateo County Transit District(SamTrans),9009,Authority,N,"San Francisco-Oakland, CA","3,281,212",DT,PT, 10 , 10 ,, -   ,, 504.0 ,, 504.0 ,, 18.7 ,, 18.7 ,, 45.6 ,, 508.9 ,,,
CA,San Mateo County Transit District(SamTrans),9009,Authority,N,"San Francisco-Oakland, CA","3,281,212",MB,DO, 193 , 228 ,," 4,198.6 ",," 5,748.0 ",," 4,173.8 ",, 384.9 ,, 311.3 ,," 9,585.0 ",," 39,298.3 ",,,
CA,San Mateo County Transit District(SamTrans),9009,Authority,N,"San Francisco-Oakland, CA","3,281,212",DR,PT, 86 , 93 ,, -   ,," 2,428.7 ",," 2,105.1 ",, 177.3 ,, 159.3 ,, 252.1 ,," 2,195.4 ",,,
CA,San Mateo County Transit District(SamTrans),9009,Authority,N,"San Francisco-Oakland, CA","3,281,212",MB,PT, 72 , 82 ,," 2,454.2 ",," 3,535.2 ",," 2,459.4 ",, 222.2 ,, 176.5 ,," 3,157.9 ",," 22,337.6 ",,,
CA,San Mateo County Transit District(SamTrans),9009,Authority,N,"San Francisco-Oakland, CA","3,281,212",Total,, 361 , 413 ,," 6,652.8 ",," 12,216.0 ",," 9,242.4 ",, 803.1 ,, 665.8 ,," 13,040.5 ",," 64,340.2 ",,,
CA,Santa Barbara Metropolitan Transit District(SBMTD),9020,Authority,N,"Santa Barbara, CA","195,861",DR,PT, 18 , 21 ,, -   ,, 477.9 ,, 367.4 ,, 35.6 ,, 25.0 ,, 51.4 ,, 293.0 ,,,
CA,Santa Barbara Metropolitan Transit District(SBMTD),9020,Authority,N,"Santa Barbara, CA","195,861",CB,DO, 4 , 5 ,, 75.7 ,, 101.9 ,, 76.2 ,, 2.4 ,, 1.9 ,, 40.0 ,," 1,611.6 ",,,
CA,Santa Barbara Metropolitan Transit District(SBMTD),9020,Authority,N,"Santa Barbara, CA","195,861",MB,DO, 83 , 101 ,," 2,458.6 ",," 2,807.4 ",," 2,436.9 ",, 220.4 ,, 197.6 ,," 7,734.3 ",," 33,102.6 ",,,
CA,Santa Barbara Metropolitan Transit District(SBMTD),9020,Authority,N,"Santa Barbara, CA","195,861",Total,, 105 , 127 ,," 2,534.3 ",," 3,387.2 ",," 2,880.5 ",, 258.5 ,, 224.5 ,," 7,825.7 ",," 35,007.2 ",,,
CA,Santa Clara Valley Transportation Authority(VTA),9013,Authority,N,"San Jose, CA","1,664,496",MB,DO, 360 , 443 ,," 14,626.4 ",," 17,439.5 ",," 14,582.5 ",," 1,327.2 ",," 1,209.9 ",," 32,404.6 ",," 166,423.9 ",,,
CA,Santa Clara Valley Transportation Authority(VTA),9013,Authority,N,"San Jose, CA","1,664,496",MB,PT, 11 , 12 ,, 218.3 ,, 263.2 ,, 218.3 ,, 20.7 ,, 19.0 ,, 341.4 ,," 1,320.9 ",,,
CA,Santa Clara Valley Transportation Authority(VTA),9013,Authority,N,"San Jose, CA","1,664,496",DR,PT, 240 , 254 ,, -   ,," 6,873.1 ",," 5,995.5 ",, 337.3 ,, 287.6 ,, 732.8 ,," 8,205.0 ",,,
CA,Santa Clara Valley Transportation Authority(VTA),9013,Authority,N,"San Jose, CA","1,664,496",LR,DO, 56 , 499 ,," 3,208.8 ",," 3,450.8 ",," 3,208.1 ",, 214.6 ,, 198.4 ,," 10,742.3 ",," 58,102.9 ",,,
CA,Santa Clara Valley Transportation Authority(VTA),9013,Authority,N,"San Jose, CA","1,664,496",Total,, 667 ," 1,208 ",," 18,053.5 ",," 28,026.6 ",," 24,004.4 ",," 1,899.8 ",," 1,714.9 ",," 44,221.1 ",," 234,052.7 ",,,
CA,Santa Clarita Transit(SCT),9171,City,N,"Santa Clarita, CA","258,653",CB,PT, 24 , 28 ,, 951.9 ,," 1,166.6 ",, 949.4 ,, 42.7 ,, 35.5 ,, 540.6 ,," 11,913.9 ",,,
CA,Santa Clarita Transit(SCT),9171,City,N,"Santa Clarita, CA","258,653",MB,PT, 43 , 56 ,," 1,798.1 ",," 2,043.1 ",," 1,800.2 ",, 134.3 ,, 125.3 ,," 3,004.9 ",," 12,494.0 ",,,
CA,Santa Clarita Transit(SCT),9171,City,N,"Santa Clarita, CA","258,653",DR,PT, 22 , 26 ,, -   ,, 903.6 ,, 736.2 ,, 58.0 ,, 42.9 ,, 115.9 ,," 1,075.4 ",,,
CA,Santa Clarita Transit(SCT),9171,City,N,"Santa Clarita, CA","258,653",Total,, 89 , 110 ,," 2,750.0 ",," 4,113.3 ",," 3,485.8 ",, 234.9 ,, 203.7 ,," 3,661.3 ",," 25,483.3 ",,,
CA,Santa Cruz Metropolitan Transit District(SCMTD),9006,Authority,N,"Santa Cruz, CA","163,703",CB,DO, 14 , 21 ,, 611.5 ,, 728.0 ,, 611.0 ,, 28.4 ,, 21.1 ,, 354.1 ,," 11,210.0 ",,,
CA,Santa Cruz Metropolitan Transit District(SCMTD),9006,Authority,N,"Santa Cruz, CA","163,703",DT,PT, 6 ,,, -   ,, 39.6 ,, 39.6 ,, 3.7 ,, 3.7 ,, 8.0 ,, 46.3 ,,,
CA,Santa Cruz Metropolitan Transit District(SCMTD),9006,Authority,N,"Santa Cruz, CA","163,703",DR,DO, 29 , 36 ,, -   ,, 528.2 ,, 395.6 ,, 52.8 ,, 42.9 ,, 82.5 ,, 523.5 ,,,
CA,Santa Cruz Metropolitan Transit District(SCMTD),9006,Authority,N,"Santa Cruz, CA","163,703",MB,DO, 69 , 85 ,," 2,571.8 ",," 2,950.3 ",," 2,561.0 ",, 214.6 ,, 194.5 ,," 5,015.6 ",," 23,804.4 ",,,
CA,Santa Cruz Metropolitan Transit District(SCMTD),9006,Authority,N,"Santa Cruz, CA","163,703",Total,, 118 , 142 ,," 3,183.3 ",," 4,246.1 ",," 3,607.2 ",, 299.5 ,, 262.2 ,," 5,460.2 ",," 35,584.2 ",,,
CA,Santa Maria Area Transit(SMAT),9087,City,N,"Santa Maria, CA","130,447",DR,PT, 9 , 10 ,, -   ,, 180.8 ,, 165.9 ,, 12.4 ,, 11.7 ,, 31.7 ,, 173.2 ,,,
CA,Santa Maria Area Transit(SMAT),9087,City,N,"Santa Maria, CA","130,447",MB,PT, 28 , 37 ,," 1,250.8 ",," 1,089.6 ",," 1,009.9 ",, 66.3 ,, 61.9 ,, 984.7 ,," 6,723.2 ",,,
CA,Santa Maria Area Transit(SMAT),9087,City,N,"Santa Maria, CA","130,447",Total,, 37 , 47 ,," 1,250.8 ",," 1,270.4 ",," 1,175.8 ",, 78.6 ,, 73.6 ,," 1,016.4 ",," 6,896.3 ",,,
CA,Santa Monica's Big Blue Bus(Big Blue Bus),9008,City,N,"Los Angeles-Long Beach-Anaheim, CA","12,150,996",DR,PT, 5 , 6 ,, -   ,, 71.5 ,, 65.2 ,, 10.9 ,, 9.1 ,, 25.3 ,, 64.7 ,,,
CA,Santa Monica's Big Blue Bus(Big Blue Bus),9008,City,N,"Los Angeles-Long Beach-Anaheim, CA","12,150,996",MB,DO, 152 , 192 ,," 5,128.9 ",," 5,647.3 ",," 5,108.8 ",, 526.2 ,, 502.8 ,," 19,319.1 ",," 74,949.6 ",,,
CA,Santa Monica's Big Blue Bus(Big Blue Bus),9008,City,N,"Los Angeles-Long Beach-Anaheim, CA","12,150,996",Total,, 157 , 198 ,," 5,128.9 ",," 5,718.8 ",," 5,173.9 ",, 537.1 ,, 511.9 ,," 19,344.4 ",," 75,014.3 ",,,
CA,Simi Valley Transit(SVT),9050,City,Y,"Simi Valley, CA","125,206",MB,DO, 6 ,,, -   ,, -   ,, 400.4 ,, -   ,, 24.9 ,, 434.5 ,, -   ,,,
CA,Simi Valley Transit(SVT),9050,City,Y,"Simi Valley, CA","125,206",DR,DO, 11 ,,, -   ,, -   ,, 184.1 ,, -   ,, 19.0 ,, 46.3 ,, -   ,,,
CA,Simi Valley Transit(SVT),9050,City,Y,"Simi Valley, CA","125,206",Total,, 17 ,,, -   ,, -   ,, 584.5 ,, -   ,, 43.8 ,, 480.8 ,, -   ,,,
CA,Solano County Transit(SolTrans),9232,City,N,"Vallejo, CA","165,074",DR,PT, 11 , 12 ,, -   ,, 262.9 ,, 216.8 ,, 19.0 ,, 17.2 ,, 41.9 ,, 184.6 ,,,
CA,Solano County Transit(SolTrans),9232,City,N,"Vallejo, CA","165,074",MB,PT, 20 , 24 ,, 529.3 ,, 578.9 ,, 528.2 ,, 44.8 ,, 42.2 ,, 671.1 ,," 3,006.6 ",,,
CA,Solano County Transit(SolTrans),9232,City,N,"Vallejo, CA","165,074",CB,PT, 12 , 16 ,," 1,072.9 ",," 1,126.4 ",," 1,070.5 ",, 44.8 ,, 42.2 ,, 686.6 ,," 6,041.6 ",,,
CA,Solano County Transit(SolTrans),9232,City,N,"Vallejo, CA","165,074",Total,, 43 , 52 ,," 1,602.2 ",," 1,968.2 ",," 1,815.5 ",, 108.5 ,, 101.6 ,," 1,399.6 ",," 9,232.8 ",,,
CA,Sonoma County Transit(SCT),9089,City,N,"Santa Rosa, CA","308,231",MB,DO, 3 , 6 ,, 90.6 ,, 90.7 ,, 90.0 ,, 5.6 ,, 5.6 ,, 24.9 ,, 230.9 ,,,
CA,Sonoma County Transit(SCT),9089,City,N,"Santa Rosa, CA","308,231",DR,PT, 25 , 29 ,, -   ,, 644.1 ,, 493.0 ,, 40.2 ,, 32.1 ,, 39.1 ,, 442.4 ,,,
CA,Sonoma County Transit(SCT),9089,City,N,"Santa Rosa, CA","308,231",MB,PT, 38 , 49 ,," 1,374.9 ",," 1,763.1 ",," 1,368.0 ",, 96.6 ,, 81.8 ,," 1,339.7 ",," 12,445.9 ",,,
CA,Sonoma County Transit(SCT),9089,City,N,"Santa Rosa, CA","308,231",Total,, 66 , 84 ,," 1,465.5 ",," 2,498.0 ",," 1,951.0 ",, 142.4 ,, 119.4 ,," 1,403.7 ",," 13,119.1 ",,,
CA,Southern California Regional Rail Authority dba: Metrolink(Metrolink),9151,Authority,N,"Los Angeles-Long Beach-Anaheim, CA","12,150,996",CR,PT, 185 , 274 ,," 13,236.9 ",," 13,460.0 ",," 13,162.9 ",, 374.2 ,, 338.0 ,," 13,444.8 ",," 464,643.1 ",,,
CA,Southern California Regional Rail Authority dba: Metrolink(Metrolink),9151,Authority,N,"Los Angeles-Long Beach-Anaheim, CA","12,150,996",Total,, 185 , 274 ,," 13,236.9 ",," 13,460.0 ",," 13,162.9 ",, 374.2 ,, 338.0 ,," 13,444.8 ",," 464,643.1 ",,,
CA,Stanislaus County Public Works - Transit(StaRT),9236,Authority,Y,"Modesto, CA","358,172",MB,PT, 10 ,,, -   ,, -   ,, 610.8 ,, -   ,, 28.8 ,, 330.6 ,, -   ,,,
CA,Stanislaus County Public Works - Transit(StaRT),9236,Authority,Y,"Modesto, CA","358,172",DR,PT, 18 ,,, -   ,, -   ,, 265.9 ,, -   ,, 15.9 ,, 44.1 ,, -   ,,,
CA,Stanislaus County Public Works - Transit(StaRT),9236,Authority,Y,"Modesto, CA","358,172",Total,, 28 ,,, -   ,, -   ,, 876.8 ,, -   ,, 44.7 ,, 374.6 ,, -   ,,,
CA,SunLine Transit Agency(SunLine),9079,Authority,N,"Indio-Cathedral City, CA","345,580",DR,DO, 27 , 31 ,, -   ,," 1,027.9 ",, 952.2 ,, 65.6 ,, 61.3 ,, 136.2 ,," 1,535.1 ",,,
CA,SunLine Transit Agency(SunLine),9079,Authority,N,"Indio-Cathedral City, CA","345,580",MB,DO, 46 , 69 ,," 2,597.4 ",," 2,837.1 ",," 2,585.8 ",, 201.7 ,, 192.0 ,," 4,571.6 ",," 29,961.4 ",,,
CA,SunLine Transit Agency(SunLine),9079,Authority,N,"Indio-Cathedral City, CA","345,580",Total,, 73 , 100 ,," 2,597.4 ",," 3,865.0 ",," 3,538.0 ",, 267.3 ,, 253.2 ,," 4,707.8 ",," 31,496.6 ",,,
CA,The Eastern Contra Costa Transit Authority(Tri Delta Transit),9162,Authority,N,"Antioch, CA","277,634",MB,PT, 46 , 63 ,," 2,070.1 ",," 2,416.7 ",," 2,064.7 ",, 172.0 ,, 154.6 ,," 2,740.8 ",," 19,027.9 ",,,
CA,The Eastern Contra Costa Transit Authority(Tri Delta Transit),9162,Authority,N,"Antioch, CA","277,634",DR,PT, 21 , 32 ,, -   ,, 971.1 ,, 799.4 ,, 71.8 ,, 67.5 ,, 129.0 ,, 736.6 ,,,
CA,The Eastern Contra Costa Transit Authority(Tri Delta Transit),9162,Authority,N,"Antioch, CA","277,634",Total,, 67 , 95 ,," 2,070.1 ",," 3,387.8 ",," 2,864.2 ",, 243.8 ,, 222.1 ,," 2,869.8 ",," 19,764.5 ",,,
CA,Thousand Oaks Transit(TOT),9165,City,Y,"Thousand Oaks, CA","214,811",DR,PT, 16 ,,, -   ,, -   ,, 560.9 ,, -   ,, 36.6 ,, 85.0 ,, -   ,,,
CA,Thousand Oaks Transit(TOT),9165,City,Y,"Thousand Oaks, CA","214,811",MB,PT, 4 ,,, -   ,, -   ,, 211.2 ,, -   ,, 15.2 ,, 153.8 ,, -   ,,,
CA,Thousand Oaks Transit(TOT),9165,City,Y,"Thousand Oaks, CA","214,811",Total,, 20 ,,, -   ,, -   ,, 772.1 ,, -   ,, 51.8 ,, 238.8 ,, -   ,,,
CA,Torrance Transit System(TTS),9010,City,N,"Los Angeles-Long Beach-Anaheim, CA","12,150,996",MB,PT, 10 , 12 ,, 117.2 ,, 270.9 ,, 117.2 ,, 10.8 ,, 5.8 ,, 72.9 ,, 896.8 ,,,
CA,Torrance Transit System(TTS),9010,City,N,"Los Angeles-Long Beach-Anaheim, CA","12,150,996",MB,DO, 48 , 56 ,," 2,053.2 ",," 2,112.6 ",," 2,049.8 ",, 163.4 ,, 158.8 ,," 3,949.9 ",," 16,787.1 ",,,
CA,Torrance Transit System(TTS),9010,City,N,"Los Angeles-Long Beach-Anaheim, CA","12,150,996",DT,PT, 36 , 36 ,, -   ,, 313.3 ,, 313.3 ,, 15.5 ,, 15.5 ,, 71.6 ,, 404.6 ,,,
CA,Torrance Transit System(TTS),9010,City,N,"Los Angeles-Long Beach-Anaheim, CA","12,150,996",Total,, 94 , 104 ,," 2,170.4 ",," 2,696.8 ",," 2,480.3 ",, 189.7 ,, 180.1 ,," 4,094.5 ",," 18,088.5 ",,,
CA,Unitrans - City of Davis/ASUCD(Unitrans),9142,University,N,"Davis, CA","72,794",MB,DO, 36 , 49 ,, 836.8 ,, 866.3 ,, 801.0 ,, 84.7 ,, 80.1 ,," 3,880.5 ",," 8,630.8 ",,,
CA,Unitrans - City of Davis/ASUCD(Unitrans),9142,University,N,"Davis, CA","72,794",Total,, 36 , 49 ,, 836.8 ,, 866.3 ,, 801.0 ,, 84.7 ,, 80.1 ,," 3,880.5 ",," 8,630.8 ",,,
CA,Ventura Intercity Service Transit Authority(VISTA),9164,Authority,N,"Oxnard, CA","367,260",DR,PT, 13 , 13 ,, -   ,, 433.4 ,, 380.3 ,, 33.6 ,, 32.1 ,, 209.3 ,, 854.1 ,,,
CA,Ventura Intercity Service Transit Authority(VISTA),9164,Authority,N,"Oxnard, CA","367,260",CB,PT, 29 , 33 ,," 1,580.6 ",," 1,820.8 ",," 1,580.6 ",, 64.8 ,, 58.3 ,, 843.8 ,," 9,717.3 ",,,
CA,Ventura Intercity Service Transit Authority(VISTA),9164,Authority,N,"Oxnard, CA","367,260",Total,, 42 , 46 ,," 1,580.6 ",," 2,254.2 ",," 1,960.8 ",, 98.4 ,, 90.4 ,," 1,053.1 ",," 10,571.4 ",,,
CA,Victor Valley Transit Authority(VVTA),9148,Authority,N,"Victorville-Hesperia, CA","328,454",DR,PT, 27 , 36 ,, -   ,, 941.9 ,, 751.4 ,, 54.4 ,, 44.8 ,, 126.1 ,," 1,495.5 ",,,
CA,Victor Valley Transit Authority(VVTA),9148,Authority,N,"Victorville-Hesperia, CA","328,454",VP,PT, 103 , 139 ,, -   ,," 1,591.8 ",," 1,591.8 ",, 30.3 ,, 30.3 ,, 191.0 ,," 9,799.3 ",,,
CA,Victor Valley Transit Authority(VVTA),9148,Authority,N,"Victorville-Hesperia, CA","328,454",CB,PT, 7 , 10 ,, 262.4 ,, 385.5 ,, 261.3 ,, 10.6 ,, 6.4 ,, 68.7 ,," 3,483.9 ",,,
CA,Victor Valley Transit Authority(VVTA),9148,Authority,N,"Victorville-Hesperia, CA","328,454",MB,PT, 29 , 43 ,," 1,833.8 ",," 2,012.5 ",," 1,831.4 ",, 112.3 ,, 105.9 ,," 1,765.1 ",," 10,546.1 ",,,
CA,Victor Valley Transit Authority(VVTA),9148,Authority,N,"Victorville-Hesperia, CA","328,454",Total,, 166 , 228 ,," 2,096.2 ",," 4,931.6 ",," 4,435.9 ",, 207.5 ,, 187.4 ,," 2,150.9 ",," 25,324.8 ",,,
CA,Western Contra Costa Transit Authority(WestCAT),9159,Authority,N,"San Francisco-Oakland, CA","3,281,212",CB,PT, 6 , 9 ,, 360.5 ,, 389.3 ,, 360.4 ,, 13.2 ,, 11.9 ,, 201.4 ,," 4,794.2 ",,,
CA,Western Contra Costa Transit Authority(WestCAT),9159,Authority,N,"San Francisco-Oakland, CA","3,281,212",DR,PT, 9 , 12 ,, -   ,, 225.5 ,, 204.5 ,, 15.4 ,, 14.0 ,, 42.9 ,, 285.2 ,,,
CA,Western Contra Costa Transit Authority(WestCAT),9159,Authority,N,"San Francisco-Oakland, CA","3,281,212",MB,PT, 30 , 38 ,," 1,133.9 ",," 1,215.1 ",," 1,133.4 ",, 71.2 ,, 66.5 ,," 1,080.5 ",," 6,725.5 ",,,
CA,Western Contra Costa Transit Authority(WestCAT),9159,Authority,N,"San Francisco-Oakland, CA","3,281,212",Total,, 45 , 59 ,," 1,494.4 ",," 1,829.9 ",," 1,698.3 ",, 99.7 ,, 92.5 ,," 1,324.8 ",," 11,804.9 ",,,
CA,Yolo County Transportation District(YCTD),9090,Authority,N,"Sacramento, CA","1,723,634",MB,PT, 42 , 50 ,," 1,991.7 ",," 2,256.1 ",," 1,991.7 ",, 111.4 ,, 100.7 ,," 1,690.2 ",," 18,524.7 ",,,
CA,Yolo County Transportation District(YCTD),9090,Authority,N,"Sacramento, CA","1,723,634",DR,PT, 7 , 10 ,, -   ,, 295.3 ,, 254.4 ,, 17.7 ,, 13.8 ,, 23.4 ,, 270.1 ,,,
CA,Yolo County Transportation District(YCTD),9090,Authority,N,"Sacramento, CA","1,723,634",Total,, 49 , 60 ,," 1,991.7 ",," 2,551.4 ",," 2,246.1 ",, 129.1 ,, 114.5 ,," 1,713.6 ",," 18,794.9 ",,,
CA,Yuba-Sutter Transit Authority(YSTA),9061,Authority,N,"Yuba City, CA","116,719",MB,PT, 14 , 16 ,, 564.9 ,, 596.4 ,, 561.9 ,, 50.5 ,, 48.1 ,, 986.4 ,," 1,223.1 ",,,
CA,Yuba-Sutter Transit Authority(YSTA),9061,Authority,N,"Yuba City, CA","116,719",DR,PT, 10 , 15 ,, -   ,, 340.4 ,, 305.0 ,, 25.9 ,, 23.7 ,, 71.7 ,, 304.6 ,,,
CA,Yuba-Sutter Transit Authority(YSTA),9061,Authority,N,"Yuba City, CA","116,719",CB,PT, 10 , 13 ,, 320.9 ,, 483.0 ,, 319.6 ,, 13.7 ,, 8.7 ,, 157.8 ,," 6,469.7 ",,,
CA,Yuba-Sutter Transit Authority(YSTA),9061,Authority,N,"Yuba City, CA","116,719",Total,, 34 , 44 ,, 885.9 ,," 1,419.7 ",," 1,186.5 ",, 90.1 ,, 80.5 ,," 1,215.8 ",," 7,997.4 ",,,
CO,Berthoud Area Transportation Service(BATS),8027,City,Y,"Fort Collins, CO","264,465",DR,DO, 5 ,,, -   ,, -   ,, 23.6 ,, -   ,, 2.3 ,, 4.7 ,, -   ,,,
CO,Berthoud Area Transportation Service(BATS),8027,City,Y,"Fort Collins, CO","264,465",Total,, 5 ,,, -   ,, -   ,, 23.6 ,, -   ,, 2.3 ,, 4.7 ,, -   ,,,
CO,City of Greeley - Transit Services(GET),8010,City,Y,"Greeley, CO","117,825",MB,DO, 12 ,,, -   ,, -   ,, 448.7 ,, -   ,, 32.9 ,, 525.2 ,, -   ,,,
CO,City of Greeley - Transit Services(GET),8010,City,Y,"Greeley, CO","117,825",DR,DO, 6 ,,, -   ,, -   ,, 138.1 ,, -   ,, 13.3 ,, 25.0 ,, -   ,,,
CO,City of Greeley - Transit Services(GET),8010,City,Y,"Greeley, CO","117,825",Total,, 18 ,,, -   ,, -   ,, 586.8 ,, -   ,, 46.2 ,, 550.2 ,, -   ,,,
CO,City of Loveland Transit(COLT),8025,City,N,"Fort Collins, CO","264,465",DR,DO, 2 , 3 ,, -   ,, 46.0 ,, 41.2 ,, 4.0 ,, 3.6 ,, 7.7 ,, 30.1 ,,,
CO,City of Loveland Transit(COLT),8025,City,N,"Fort Collins, CO","264,465",MB,DO, 3 , 6 ,, 185.8 ,, 193.5 ,, 179.7 ,, 10.9 ,, 10.5 ,, 135.1 ,, 805.3 ,,,
CO,City of Loveland Transit(COLT),8025,City,N,"Fort Collins, CO","264,465",Total,, 5 , 9 ,, 185.8 ,, 239.6 ,, 220.9 ,, 15.0 ,, 14.1 ,, 142.8 ,, 835.4 ,,,
CO,Denver Regional Transportation District(RTD),8006,Authority,N,"Denver-Aurora, CO","2,374,203",MB,PT, 367 , 456 ,," 15,409.1 ",," 18,025.5 ",," 15,423.5 ",," 1,307.3 ",," 1,213.9 ",," 24,236.8 ",," 124,350.8 ",,,
CO,Denver Regional Transportation District(RTD),8006,Authority,N,"Denver-Aurora, CO","2,374,203",DR,PT, 362 , 377 ,, -   ,," 12,303.4 ",," 9,973.9 ",, 924.4 ,, 661.7 ,," 1,174.3 ",," 9,927.0 ",,,
CO,Denver Regional Transportation District(RTD),8006,Authority,N,"Denver-Aurora, CO","2,374,203",DR,DO, 8 , 9 ,, -   ,, 73.1 ,, 58.6 ,, 8.4 ,, 7.3 ,, 56.0 ,, 733.7 ,,,
CO,Denver Regional Transportation District(RTD),8006,Authority,N,"Denver-Aurora, CO","2,374,203",LR,DO, 139 , 172 ,," 9,993.2 ",," 11,087.9 ",," 10,181.9 ",, 629.2 ,, 568.3 ,," 23,773.8 ",," 201,995.3 ",,,
CO,Denver Regional Transportation District(RTD),8006,Authority,N,"Denver-Aurora, CO","2,374,203",MB,DO, 452 , 573 ,," 19,803.4 ",," 25,076.9 ",," 20,094.5 ",," 1,603.0 ",," 1,392.6 ",," 52,111.9 ",," 276,564.2 ",,,
CO,Denver Regional Transportation District(RTD),8006,Authority,N,"Denver-Aurora, CO","2,374,203",Total,," 1,328 "," 1,587 ",," 45,205.7 ",," 66,566.7 ",," 55,732.5 ",," 4,472.4 ",," 3,843.8 ",," 101,352.7 ",," 613,571.1 ",,,
CO,Mesa County(GVT),8016,City,N,"Grand Junction, CO","128,124",DR,PT, 4 , 5 ,, -   ,, 153.1 ,, 124.6 ,, 9.2 ,, 8.2 ,, 15.9 ,, 119.4 ,,,
CO,Mesa County(GVT),8016,City,N,"Grand Junction, CO","128,124",MB,PT, 12 , 22 ,, 895.0 ,, 914.4 ,, 863.9 ,, 58.7 ,, 56.7 ,, 974.6 ,," 4,168.8 ",,,
CO,Mesa County(GVT),8016,City,N,"Grand Junction, CO","128,124",Total,, 16 , 27 ,, 895.0 ,," 1,067.6 ",, 988.5 ,, 67.9 ,, 64.9 ,, 990.5 ,," 4,288.2 ",,,
CO,Mountain Metropolitan Transit(MMT),8005,City,N,"Colorado Springs, CO","559,409",DR,PT, 85 , 106 ,, -   ,," 1,891.4 ",," 1,545.0 ",, 148.2 ,, 117.1 ,, 271.6 ,," 1,584.5 ",,,
CO,Mountain Metropolitan Transit(MMT),8005,City,N,"Colorado Springs, CO","559,409",MB,PT, 30 , 43 ,," 1,538.9 ",," 1,635.9 ",," 1,523.8 ",, 112.8 ,, 108.4 ,," 2,669.3 ",," 14,697.3 ",,,
CO,Mountain Metropolitan Transit(MMT),8005,City,N,"Colorado Springs, CO","559,409",VP,DO, 32 , 41 ,, -   ,, 736.1 ,, 736.1 ,, 13.0 ,, 13.0 ,, 50.9 ,," 3,462.8 ",,,
CO,Mountain Metropolitan Transit(MMT),8005,City,N,"Colorado Springs, CO","559,409",Total,, 147 , 190 ,," 1,538.9 ",," 4,263.4 ",," 3,804.9 ",, 273.9 ,, 238.5 ,," 2,991.7 ",," 19,744.7 ",,,
CO,North Front Range Metropolitan Planning Organization(NFRMPO),8106,MPO,N,"Fort Collins, CO","264,465",VP,DO, 80 , 92 ,, -   ,," 2,039.0 ",," 2,039.0 ",, 52.9 ,, 52.9 ,, 147.8 ,," 7,870.2 ",,,
CO,North Front Range Metropolitan Planning Organization(NFRMPO),8106,MPO,N,"Fort Collins, CO","264,465",Total,, 80 , 92 ,, -   ,," 2,039.0 ",," 2,039.0 ",, 52.9 ,, 52.9 ,, 147.8 ,," 7,870.2 ",,,
