State,Name,ID,,Mode,,, Vehicles Available for Maximum Service,Annual Scheduled Vehicle Revenue Miles,Annual Vehicle Miles, Annual Vehicle Revenue Miles,Annual Vehicle Hours,Annual Vehicle Revenue Hours,Unlinked Passenger Trips,Passenger Miles
,,,Total,,,29,40,787.5 ,"1,018.1 ",974.0 ,71.8 ,67.6 ,916.8 ,"3,863.7 "
CA,National City Transit (NCT),,,,,,,,,,,,,
,,9189,B,MB,PT,9,16,455.4 ,472.2 ,455.4 ,43.4 ,41.7 ,"1,793.8 ","4,470.9 "
CA,North San Diego County Transit District (NCTD),,,,,,,,,,,,,
,,9030,B,CR,PT,28,29,"1,274.4 ","1,324.5 ","1,271.8 ",34.8 ,29.9 ,"1,348.5 ","37,867.5 "
,,9030,B,DR,PT,30,39,0.0 ,"1,087.3 ",980.2 ,70.7 ,62.1 ,192.3 ,"1,380.2 "
,,9030,B,MB,DO,135,159,"7,743.8 ","7,696.1 ","7,192.3 ",515.2 ,488.7 ,"10,177.9 ","57,403.3 "
,,,Total,,,193,227,"9,018.2 ","10,107.9 ","9,444.2 ",620.6 ,580.8 ,"11,718.7 ","96,651.0 "
CA,Norwalk Transit System (NTS),,,,,,,,,,,,,
,,9022,B,DR,DO,6,7,0.0 ,92.4 ,70.6 ,11.0 ,7.6 ,25.8 ,66.2 
,,9022,B,DR,PT,1,2,0.0 ,1.0 ,1.0 ,0.1 ,0.1 ,0.3 ,1.0 
,,9022,B,MB,DO,26,28,"1,059.9 ","1,047.0 ","1,003.5 ",88.3 ,74.2 ,"1,886.7 ","7,383.7 "
,,,Total,,,33,37,"1,059.9 ","1,140.3 ","1,075.0 ",99.3 ,81.8 ,"1,912.8 ","7,450.9 "
CA,Omnitrans (OMNI),,,,,,,,,,,,,
,,9029,B,DR,PT,86,100,0.0 ,"3,386.8 ","2,750.8 ",217.8 ,183.3 ,522.1 ,"5,302.9 "
,,9029,B,MB,DO,139,172,"7,797.0 ","8,467.7 ","7,780.0 ",627.3 ,601.1 ,"15,980.6 ","68,811.4 "
,,9029,B,MB,PT,5,8,473.3 ,553.7 ,509.6 ,23.2 ,21.7 ,284.1 ,"3,718.0 "
,,,Total,,,230,280,"8,270.3 ","12,408.2 ","11,040.4 ",868.3 ,806.2 ,"16,786.9 ","77,832.3 "
CA,Orange County Transportation Authority (OCTA),,,,,,,,,,,,,
,,9036,B,DR,PT,248,248,0.0 ,"9,630.2 ","7,131.1 ",610.3 ,491.5 ,909.2 ,"8,327.9 "
,,9036,B,MB,DO,452,542,"21,509.3 ","25,534.7 ","21,439.3 ","1,821.9 ","1,658.3 ","64,286.4 ","251,392.0 "
,,9036,B,MB,PT,72,92,"1,408.9 ","2,150.0 ","1,408.9 ",131.9 ,100.8 ,839.2 ,"4,564.2 "
,,,Total,,,772,882,"22,918.2 ","37,314.8 ","29,979.4 ","2,564.1 ","2,250.5 ","66,034.8 ","264,284.1 "
CA,Peninsula Corridor Joint Powers Board (PCJPB),,,,,,,,,,,,,
,,9134,B,CR,PT,102,153,"4,779.3 ","4,862.4 ","4,832.8 ",164.4 ,162.6 ,"6,710.5 ","144,746.9 "
,,9134,B,MB,PT,46,54,"1,173.9 ","1,905.2 ","1,173.9 ",117.2 ,76.3 ,"1,159.3 ","8,600.6 "
,,,Total,,,148,207,"5,953.2 ","6,767.7 ","6,006.7 ",281.6 ,238.9 ,"7,869.8 ","153,347.5 "
CA,Redding Area Bus Authority (RABA),,,,,,,,,,,,,
,,9093,B,DR,PT,14,19,0.0 ,366.6 ,356.5 ,25.3 ,23.1 ,59.6 ,356.5 
,,9093,B,MB,PT,13,22,870.6 ,870.6 ,847.3 ,57.0 ,54.9 ,715.3 ,"3,844.3 "
,,,Total,,,27,41,870.6 ,"1,237.2 ","1,203.8 ",82.4 ,78.0 ,774.9 ,"4,200.8 "
CA,Riverside Transit Agency (RTA),,,,,,,,,,,,,
,,9031,B,DR,PT,49,55,0.0 ,"2,039.1 ","2,039.1 ",112.1 ,112.1 ,221.1 ,"2,217.8 "
,,9031,B,MB,DO,71,85,"3,851.8 ","4,359.3 ","3,930.7 ",286.9 ,271.0 ,"5,951.9 ","31,755.7 "
,,9031,B,MB,PT,44,53,"2,441.1 ","2,525.7 ","2,270.2 ",142.7 ,134.3 ,973.6 ,"8,071.5 "
,,,Total,,,164,193,"6,292.9 ","8,924.1 ","8,239.9 ",541.7 ,517.5 ,"7,146.7 ","42,045.0 "
CA,Roseville Transit,,,,,,,,,,,,,
,,9168,B,DR,PT,6,11,0.0 ,274.8 ,245.4 ,20.6 ,19.5 ,51.1 ,324.7 
,,9168,B,MB,PT,12,15,555.5 ,598.4 ,555.5 ,37.9 ,36.4 ,326.9 ,"2,616.6 "
,,,Total,,,18,26,555.5 ,873.1 ,800.9 ,58.5 ,55.8 ,378.0 ,"2,941.4 "
CA,Sacramento Regional Transit District (Sacramento RT),,,,,,,,,,,,,
,,9019,B,DR,PT,80,120,0.0 ,"2,837.9 ","2,470.1 ",169.2 ,145.8 ,254.4 ,"1,969.2 "
,,9019,B,LR,DO,32,36,"2,172.8 ","2,198.1 ","2,171.0 ",107.5 ,105.8 ,"8,859.0 ","47,364.9 "
,,9019,B,MB,DO,197,254,"7,929.7 ","9,463.0 ","7,922.9 ",666.0 ,614.7 ,"19,756.5 ","75,325.5 "
,,,Total,,,309,410,"10,102.5 ","14,498.9 ","12,564.0 ",942.6 ,866.3 ,"28,870.0 ","124,659.5 "
CA,San Diego Association of Governments (SANDAG),,,,,,,,,,,,,
,,9095,B,VP,PT,279,279,0.0 ,"6,588.0 ","6,588.0 ",136.2 ,136.2 ,822.9 ,"42,591.5 "
CA,San Diego Metropolitan Transit System (MTS),,,,,,,,,,,,,
,,9026,A,MB,DO,212,297,"10,867.3 ","12,454.4 ","10,448.1 ",979.7 ,913.3 ,"32,801.6 ","121,935.3 "
CA,"San Diego Trolley, Inc.",,,,,,,,,,,,,
,,9054,A,LR,DO,83,123,"6,784.7 ","6,987.6 ","6,921.7 ",371.0 ,363.0 ,"25,174.8 ","159,356.4 "
CA,San Francisco Bay Area Rapid Transit District (BART),,,,,,,,,,,,,
,,9003,A,HR,DO,483,668,"60,278.5 ","60,637.0 ","58,880.7 ","1,948.0 ","1,637.6 ","93,591.4 ","1,147,851.9 "
CA,San Francisco Municipal Railway (MUNI),,,,,,,,,,,,,
,,9015,B,CC,DO,26,40,477.0 ,411.3 ,405.1 ,127.1 ,125.4 ,"7,418.8 ","8,598.2 "
,,9015,B,LR,DO,130,177,"5,738.7 ","5,531.1 ","5,531.1 ",577.0 ,577.0 ,"42,896.3 ","109,941.0 "
,,9015,B,MB,DO,405,544,"13,847.6 ","15,463.2 ","13,379.3 ","1,661.6 ","1,542.2 ","90,880.6 ","195,047.2 "
,,9015,B,TB,DO,272,343,"7,507.6 ","7,706.9 ","7,367.8 ","1,108.5 ","1,070.4 ","74,398.9 ","110,270.0 "
,,,Total,,,833,"1,104","27,570.9 ","29,112.6 ","26,683.3 ","3,474.3 ","3,314.9 ","215,594.6 ","423,856.4 "
CA,San Francisco Paratransit (ATC),,,,,,,,,,,,,
,,9186,D,DR,PT,"1,470","1,686",0.0 ,"5,354.2 ","5,354.2 ",427.6 ,427.6 ,"1,352.8 ","8,044.6 "
CA,San Joaquin Regional Transit District (SJRTD),,,,,,,,,,,,,
,,9012,B,DR,DO,20,29,0.0 ,527.7 ,414.8 ,35.9 ,28.7 ,77.2 ,645.8 
,,9012,B,DR,PT,31,39,0.0 ,551.2 ,496.4 ,30.9 ,27.5 ,74.9 ,901.2 
,,9012,B,MB,DO,98,110,"3,741.2 ","4,552.5 ","3,741.2 ",253.7 ,230.2 ,"4,450.7 ","33,294.4 "
,,9012,B,MB,PT,1,2,18.0 ,20.0 ,18.0 ,1.3 ,1.1 ,2.1 ,8.1 
,,9012,B,VP,DO,2,5,0.0 ,6.0 ,6.0 ,0.1 ,0.1 ,0.5 ,33.1 
,,,Total,,,152,185,"3,759.3 ","5,657.4 ","4,676.5 ",321.9 ,287.5 ,"4,605.4 ","34,882.6 "
CA,San Mateo County Transit District (SamTrans),,,,,,,,,,,,,
,,9009,B,DR,PT,88,116,0.0 ,"3,117.1 ","2,662.0 ",237.7 ,213.2 ,310.8 ,"2,851.7 "
,,9009,B,MB,DO,207,261,"5,231.5 ","7,272.2 ","5,194.6 ",589.4 ,506.7 ,"12,855.7 ","57,465.1 "
,,9009,B,MB,PT,65,82,"3,100.9 ","3,979.9 ","2,955.7 ",233.5 ,189.1 ,"3,692.2 ","38,990.1 "
,,,Total,,,360,459,"8,332.4 ","14,369.2 ","10,812.3 ","1,060.7 ",909.0 ,"16,858.7 ","99,306.9 "
CA,Santa Barbara Metropolitan Transit District (SBMTD),,,,,,,,,,,,,
,,9020,B,DR,PT,12,16,0.0 ,221.3 ,185.2 ,17.2 ,13.6 ,19.0 ,328.9 
,,9020,B,MB,DO,74,91,"2,717.5 ","2,717.5 ","2,419.3 ",209.2 ,177.2 ,"7,005.5 ","25,612.5 "
,,,Total,,,86,107,"2,717.5 ","2,938.8 ","2,604.4 ",226.4 ,190.8 ,"7,024.4 ","25,941.4 "
CA,Santa Clara Valley Transportation Authority (VTA),,,,,,,,,,,,,
,,9013,B,DR,PT,300,317,0.0 ,"8,432.3 ","7,233.1 ",563.5 ,490.3 ,"1,036.8 ","8,497.3 "
,,9013,B,LR,DO,29,98,"1,841.2 ","1,924.9 ","1,840.2 ",130.7 ,125.3 ,"6,052.5 ","26,815.3 "
,,9013,B,MB,DO,375,524,"17,468.5 ","20,388.2 ","17,328.0 ","1,485.6 ","1,364.8 ","39,169.3 ","152,035.7 "
,,9013,B,MB,PT,29,29,471.2 ,574.9 ,471.2 ,55.8 ,48.9 ,605.3 ,"1,495.0 "
,,,Total,,,733,968,"19,780.9 ","31,320.4 ","26,872.6 ","2,235.5 ","2,029.3 ","46,863.9 ","188,843.3 "
CA,Santa Clarita Transit (SCT),,,,,,,,,,,,,
,,9171,B,DR,PT,11,16,0.0 ,547.0 ,456.5 ,36.1 ,27.6 ,83.1 ,603.9 
,,9171,B,MB,PT,47,62,"2,807.1 ","3,166.8 ","2,805.3 ",160.4 ,143.3 ,"2,923.7 ","35,139.0 "
,,,Total,,,58,78,"2,807.1 ","3,713.8 ","3,261.8 ",196.5 ,170.9 ,"3,006.7 ","35,742.9 "
CA,Santa Cruz Metropolitan Transit District (SCMTD),,,,,,,,,,,,,
,,9006,B,DR,PT,60,78,0.0 ,725.8 ,594.9 ,52.2 ,43.4 ,106.0 ,638.0 
,,9006,B,MB,DO,88,111,"3,383.4 ","3,917.9 ","3,388.7 ",262.2 ,240.8 ,"6,136.4 ","35,176.3 "
,,,Total,,,148,189,"3,383.4 ","4,643.8 ","3,983.6 ",314.4 ,284.1 ,"6,242.3 ","35,814.3 "
CA,Santa Maria Area Transit (SMAT),,,,,,,,,,,,,
,,9087,B,DR,PT,7,8,0.0 ,124.5 ,105.7 ,12.1 ,8.3 ,29.3 ,178.8 
,,9087,B,MB,PT,10,14,453.2 ,468.7 ,451.5 ,34.9 ,32.2 ,724.1 ,964.1 
,,,Total,,,17,22,453.2 ,593.2 ,557.2 ,47.0 ,40.5 ,753.4 ,"1,142.8 "
CA,Santa Monica's Big Blue Bus,,,,,,,,,,,,,
,,9008,B,DR,PT,4,6,0.0 ,79.9 ,74.2 ,9.7 ,9.1 ,26.7 ,67.1 
,,9008,B,MB,DO,143,202,"5,022.7 ","5,625.1 ","5,014.1 ",491.1 ,456.1 ,"20,043.4 ","68,555.5 "
,,,Total,,,147,208,"5,022.7 ","5,704.9 ","5,088.3 ",500.7 ,465.2 ,"20,070.1 ","68,622.6 "
CA,Simi Valley Transit (SVT),,,,,,,,,,,,,
,,9050,B,DR,DO,7,11,0.0 ,308.0 ,276.5 ,26.7 ,25.3 ,42.5 ,191.2 
,,9050,B,MB,DO,7,11,376.0 ,365.6 ,354.0 ,20.8 ,20.3 ,393.9 ,"2,013.2 "
,,,Total,,,14,22,376.0 ,673.6 ,630.5 ,47.5 ,45.6 ,436.3 ,"2,204.4 "
CA,South Coast Area Transit (SCAT),,,,,,,,,,,,,
,,9035,B,DR,PT,19,25,0.0 ,591.3 ,517.1 ,40.3 ,34.7 ,97.0 ,519.7 
,,9035,B,MB,DO,37,46,"1,387.3 ","1,510.8 ","1,385.2 ",132.1 ,127.4 ,"3,435.3 ","18,378.9 "
,,,Total,,,56,71,"1,387.3 ","2,102.1 ","1,902.3 ",172.4 ,162.1 ,"3,532.3 ","18,898.7 "
CA,Southern California Regional Rail Authority (Metrolink),,,,,,,,,,,,,
,,9151,B,CR,PT,157,157,"7,942.2 ","8,424.1 ","8,147.2 ",233.4 ,201.9 ,"7,910.8 ","265,147.7 "
CA,SunLine Transit Agency (SunLine),,,,,,,,,,,,,
,,9079,A,DR,DO,23,27,0.0 ,928.9 ,821.8 ,53.5 ,47.0 ,103.8 ,"1,023.7 "
,,9079,A,MB,DO,41,54,"2,326.3 ","2,342.8 ","2,272.5 ",149.9 ,147.1 ,"3,448.0 ","28,872.5 "
,,,Total,,,64,81,"2,326.3 ","3,271.7 ","3,094.3 ",203.4 ,194.1 ,"3,551.8 ","29,896.2 "
CA,Thousand Oaks Transit (TOT),,,,,,,,,,,,,
,,9165,B,DR,PT,9,10,0.0 ,268.3 ,237.4 ,27.1 ,24.4 ,73.7 ,270.0 
,,9165,B,MB,PT,4,7,198.7 ,212.9 ,198.7 ,14.7 ,13.7 ,119.1 ,924.0 
,,,Total,,,13,17,198.7 ,481.1 ,436.1 ,41.8 ,38.1 ,192.8 ,"1,193.9 "
CA,Torrance Transit System,,,,,,,,,,,,,
,,9010,B,DR,PT,36,56,0.0 ,440.3 ,430.1 ,27.0 ,25.7 ,95.5 ,416.9 
,,9010,B,MB,DO,44,53,"1,887.7 ","1,947.5 ","1,881.2 ",154.4 ,150.5 ,"4,273.2 ","19,255.0 "
,,9010,B,MB,PT,11,14,116.8 ,298.5 ,116.7 ,13.6 ,6.5 ,61.5 ,641.4 
,,,Total,,,91,123,"2,004.5 ","2,686.4 ","2,428.1 ",195.0 ,182.6 ,"4,430.3 ","20,313.3 "
CA,Ventura Intercity Service Transit Authority (VISTA),,,,,,,,,,,,,
,,9164,B,DR,PT,8,13,0.0 ,321.4 ,288.2 ,24.8 ,21.9 ,167.5 ,954.9 
,,9164,B,MB,PT,18,21,"1,377.5 ","1,404.8 ","1,377.5 ",44.1 ,43.2 ,356.4 ,"4,476.5 "
,,,Total,,,26,34,"1,377.5 ","1,726.2 ","1,665.7 ",68.9 ,65.1 ,523.9 ,"5,431.5 "
CA,Victor Valley Transit Authority (VVTA),,,,,,,,,,,,,
,,9148,B,DR,PT,25,33,0.0 ,966.1 ,786.7 ,55.1 ,43.3 ,106.5 ,"1,109.5 "
,,9148,B,MB,PT,21,30,"1,651.1 ","1,739.3 ","1,600.0 ",86.4 ,79.2 ,987.7 ,"9,946.2 "
,,,Total,,,46,63,"1,651.1 ","2,705.3 ","2,386.7 ",141.4 ,122.5 ,"1,094.2 ","11,055.6 "
CA,Western Contra Costa Transit Authority (WestCAT),,,,,,,,,,,,,
,,9159,B,DR,PT,10,12,0.0 ,262.2 ,230.4 ,18.9 ,16.4 ,55.6 ,222.7 
,,9159,B,MB,PT,28,32,"1,170.0 ","1,239.0 ","1,166.9 ",76.9 ,73.7 ,"1,293.8 ","3,580.2 "
,,,Total,,,38,44,"1,170.0 ","1,501.1 ","1,397.3 ",95.9 ,90.1 ,"1,349.3 ","3,802.8 "
CA,Yolo County Transportation District (YoloBus),,,,,,,,,,,,,
,,9090,B,DR,PT,4,8,0.0 ,214.1 ,143.3 ,13.3 ,8.9 ,14.9 ,110.6 
,,9090,B,MB,PT,29,35,"1,307.7 ","1,608.2 ","1,307.4 ",75.3 ,61.2 ,"1,248.9 ","11,976.8 "
,,,Total,,,33,43,"1,307.7 ","1,822.2 ","1,450.7 ",88.6 ,70.1 ,"1,263.8 ","12,087.4 "
CA,Yuba-Sutter Transit Authority (YSTA),,,,,,,,,,,,,
,,9061,B,DR,PT,10,14,0.0 ,327.5 ,278.6 ,21.5 ,18.5 ,65.4 ,399.3 
,,9061,B,MB,PT,18,22,764.8 ,833.7 ,764.8 ,47.3 ,44.6 ,562.3 ,"3,823.9 "
,,,Total,,,28,36,764.8 ,"1,161.2 ","1,043.4 ",68.9 ,63.1 ,627.8 ,"4,223.2 "
CO,City of Greeley - Transit Services (The Bus),,,,,,,,,,,,,
,,8010,A,DR,DO,6,7,0.0 ,152.1 ,122.9 ,15.7 ,13.8 ,28.4 ,110.7 
,,8010,A,MB,DO,10,14,353.5 ,358.9 ,353.5 ,27.6 ,26.7 ,406.1 ,"1,514.0 "
,,,Total,,,16,21,353.5 ,511.0 ,476.3 ,43.3 ,40.5 ,434.5 ,"1,624.8 "
CO,City of Loveland Transit (COLT),,,,,,,,,,,,,
,,8025,A,DR,DO,5,7,0.0 ,95.4 ,94.3 ,36.6 ,35.1 ,58.4 ,58.4 
,,8025,A,MB,DO,3,5,122.6 ,0.0 ,121.4 ,14.6 ,14.3 ,57.6 ,1.2 
,,,Total,,,8,12,122.6 ,95.4 ,215.7 ,51.2 ,49.4 ,116.0 ,59.6 
CO,Colorado Springs Transit System,,,,,,,,,,,,,
,,8005,B,DR,PT,51,55,0.0 ,"1,476.3 ","1,305.5 ",95.5 ,86.1 ,210.9 ,"1,284.2 "
,,8005,B,MB,DO,50,64,"2,318.8 ","2,530.3 ","2,313.8 ",157.1 ,147.8 ,"3,150.4 ","11,011.7 "
,,,Total,,,101,119,"2,318.8 ","4,006.6 ","3,619.3 ",252.6 ,233.9 ,"3,361.3 ","12,295.9 "
CO,Denver Regional Transportation District (RTD),,,,,,,,,,,,,
,,8006,A,DR,DO,13,13,0.0 ,87.0 ,66.8 ,11.7 ,9.7 ,88.9 ,890.3 
,,8006,A,DR,PT,236,250,0.0 ,"6,792.6 ","5,692.4 ",476.9 ,418.1 ,614.8 ,"5,013.3 "
,,8006,A,LR,DO,49,49,"3,619.8 ","3,995.5 ","3,764.2 ",224.4 ,205.9 ,"10,636.0 ","45,495.1 "
,,8006,A,MB,DO,589,738,"23,070.9 ","30,114.8 ","23,143.7 ","1,893.9 ","1,567.5 ","50,837.2 ","226,011.6 "
,,8006,A,MB,PT,314,391,"13,745.9 ","15,451.2 ","13,679.8 ","1,089.5 ",995.3 ,"16,270.7 ","99,019.4 "
,,8006,A,VP,PT,63,67,0.0 ,"1,285.2 ","1,284.7 ",31.4 ,30.9 ,136.8 ,"6,741.9 "
,,,Total,,,"1,264","1,508","40,436.6 ","57,726.3 ","47,631.6 ","3,727.8 ","3,227.3 ","78,584.3 ","383,171.6 "
CO,Mesa County (GVT),,,,,,,,,,,,,
,,8016,B,DR,PT,4,10,0.0 ,93.2 ,85.3 ,8.3 ,7.7 ,13.3 ,72.9 
,,8016,B,MB,PT,12,27,586.2 ,607.1 ,586.2 ,45.4 ,42.0 ,641.4 ,"2,645.7 "
,,,Total,,,16,37,586.2 ,700.3 ,671.4 ,53.7 ,49.7 ,654.6 ,"2,718.6 "
CO,Pueblo Transit System (PT),,,,,,,,,,,,,
,,8007,B,DR,PT,7,7,0.0 ,178.4 ,178.4 ,13.8 ,13.8 ,26.5 ,112.3 
,,8007,B,MB,DO,12,12,528.4 ,532.7 ,528.4 ,37.3 ,36.7 ,"1,192.6 ","3,655.7 "
,,,Total,,,19,19,528.4 ,711.1 ,706.8 ,51.1 ,50.5 ,"1,219.1 ","3,767.9 "
CO,Transfort,,,,,,,,,,,,,
,,8011,A,DR,DO,15,15,0.0 ,453.8 ,419.2 ,36.8 ,33.6 ,73.7 ,312.4 
,,8011,A,MB,DO,19,24,728.1 ,776.1 ,729.6 ,68.6 ,60.6 ,"2,116.5 ","4,973.5 "
,,,Total,,,34,39,728.1 ,"1,230.0 ","1,148.9 ",105.4 ,94.3 ,"2,190.2 ","5,285.9 "
CT,Connecticut Department of Transportation (CDOT),,,,,,,,,,,,,
,,1102,C,CR,PT,22,31,651.7 ,859.5 ,647.4 ,17.8 ,13.8 ,378.0 ,"7,956.4 "
,,1102,C,MB,PT,11,14,180.8 ,340.6 ,180.8 ,17.1 ,7.6 ,189.1 ,"2,847.3 "
,,,Total,,,33,45,832.5 ,"1,200.1 ",828.2 ,34.8 ,21.4 ,567.1 ,"10,803.7 "
CT,Connecticut Transit - Hartford Division (CTTransit),,,,,,,,,,,,,
,,1048,D,MB,DO,178,231,"6,351.7 ","7,121.3 ","6,334.8 ",521.7 ,472.2 ,"13,549.5 ","54,027.6 "
CT,Connecticut Transit - New Haven Division (CTTransit),,,,,,,,,,,,,
,,1055,D,MB,DO,82,135,"3,150.9 ","3,379.9 ","3,145.0 ",294.6 ,275.7 ,"7,978.3 ","27,272.3 "
CT,Connecticut Transit - Stamford Division (CTTransit),,,,,,,,,,,,,
,,1056,D,MB,DO,39,48,"1,256.9 ","1,301.0 ","1,256.7 ",113.4 ,108.9 ,"3,197.7 ","11,627.4 "
CT,Greater Bridgeport Transit Authority (GBTA),,,,,,,,,,,,,
,,1050,B,DR,PT,17,20,0.0 ,483.1 ,345.4 ,32.5 ,23.0 ,78.1 ,430.9 
,,1050,B,MB,DO,43,57,"2,085.2 ","2,165.5 ","2,089.7 ",173.9 ,167.6 ,"4,567.4 ","11,327.3 "
,,,Total,,,60,77,"2,085.2 ","2,648.6 ","2,435.1 ",206.5 ,190.6 ,"4,645.5 ","11,758.2 "
CT,Greater Hartford Transit District (GHTD),,,,,,,,,,,,,
,,1017,B,DR,PT,89,144,0.0 ,"2,989.0 ","2,839.6 ",231.1 ,219.6 ,484.4 ,"3,289.6 "
CT,Housatonic Area Regional Transit (HART),,,,,,,,,,,,,
,,1051,A,DR,DO,15,49,0.0 ,431.1 ,400.8 ,30.5 ,28.2 ,59.0 ,377.3 
,,1051,A,MB,DO,22,27,887.9 ,974.2 ,862.0 ,61.6 ,56.2 ,807.0 ,"4,570.8 "
,,,Total,,,37,76,887.9 ,"1,405.3 ","1,262.8 ",92.1 ,84.4 ,866.0 ,"4,948.1 "
CT,Middletown Transit District (MTD),,,,,,,,,,,,,
,,1063,B,DR,PT,8,14,0.0 ,181.9 ,161.7 ,20.3 ,18.1 ,41.6 ,170.8 
,,1063,B,MB,PT,8,12,459.2 ,474.4 ,460.7 ,30.6 ,26.8 ,348.9 ,"1,597.0 "
,,,Total,,,16,26,459.2 ,656.3 ,622.4 ,51.0 ,44.9 ,390.4 ,"1,767.7 "
CT,Milford Transit District (MTD),,,,,,,,,,,,,
,,1107,A,DR,DO,13,17,0.0 ,444.4 ,407.8 ,26.5 ,23.6 ,69.3 ,368.2 
,,1107,A,MB,DO,6,9,293.9 ,302.3 ,293.9 ,25.3 ,23.5 ,318.2 ,"1,332.9 "
,,,Total,,,19,26,293.9 ,746.8 ,701.8 ,51.7 ,47.1 ,387.5 ,"1,701.1 "
CT,"Northeast Transportation Company, Inc.",,,,,,,,,,,,,
,,1095,D,DR,DO,25,34,0.0 ,743.3 ,601.4 ,44.1 ,38.3 ,90.6 ,685.9 
,,1095,D,MB,DO,31,41,885.0 ,"1,002.1 ",885.4 ,78.8 ,72.4 ,"1,792.4 ","3,428.8 "
,,,Total,,,56,75,885.0 ,"1,745.5 ","1,486.8 ",122.9 ,110.6 ,"1,883.0 ","4,114.7 "
CT,Norwalk Transit District,,,,,,,,,,,,,
,,1057,B,DR,DO,17,17,0.0 ,258.2 ,155.0 ,20.8 ,12.4 ,26.2 ,132.1 
,,1057,B,DR,PT,17,17,0.0 ,305.0 ,137.2 ,24.9 ,11.6 ,34.7 ,169.7 
,,1057,B,MB,DO,39,45,"1,142.6 ","1,218.6 ","1,137.5 ",97.5 ,90.8 ,"1,715.9 ","6,614.9 "
,,1057,B,MB,PT,3,3,26.1 ,37.5 ,27.0 ,3.8 ,3.3 ,53.9 ,203.4 
,,,Total,,,76,82,"1,168.7 ","1,819.3 ","1,456.6 ",146.9 ,118.1 ,"1,830.7 ","7,120.1 "
CT,Southeast Area Transit (SEAT),,,,,,,,,,,,,
,,1040,B,DR,PT,2,2,0.0 ,33.2 ,31.8 ,1.9 ,1.9 ,2.3 ,8.4 
,,1040,B,MB,DO,21,28,819.6 ,885.3 ,818.8 ,54.3 ,51.7 ,914.6 ,"5,002.7 "
,,,Total,,,23,30,819.6 ,918.5 ,850.6 ,56.2 ,53.6 ,916.9 ,"5,011.1 "
CT,The Greater New Haven Transit District (GNHTD),,,,,,,,,,,,,
,,1049,A,DR,DO,87,87,0.0 ,"1,773.0 ","1,489.3 ",164.3 ,139.0 ,258.6 ,"2,083.4 "
,,1049,A,MB,DO,6,6,177.7 ,201.3 ,177.7 ,13.4 ,10.3 ,68.8 ,0.0 
,,,Total,,,93,93,177.7 ,"1,974.3 ","1,667.0 ",177.7 ,149.3 ,327.4 ,"2,083.4 "
CT,Valley Transit District,,,,,,,,,,,,,
,,1042,A,DR,DO,17,19,0.0 ,338.2 ,264.3 ,30.7 ,26.6 ,129.0 ,458.7 
DC,Washington Metropolitan Area Transit Authority (WMATA),,,,,,,,,,,,,
,,3030,B,DR,PT,198,239,0.0 ,"11,531.5 ","9,787.0 ",731.1 ,631.3 ,972.4 ,"9,787.0 "
,,3030,B,HR,DO,686,894,"51,660.3 ","58,683.2 ","56,470.2 ","2,400.1 ","2,241.8 ","243,188.1 ","1,451,856.6 "
,,3030,B,MB,DO,"1,262","1,463","38,871.9 ","48,003.3 ","38,897.5 ","3,868.9 ","3,433.5 ","147,831.5 ","447,551.1 "
,,,Total,,,"2,146","2,596","90,532.2 ","118,217.9 ","105,154.7 ","7,000.1 ","6,306.6 ","391,992.0 ","1,909,194.6 "
DE,Delaware Transit Corporation (DTC),,,,,,,,,,,,,
,,3075,B,DR,DO,157,212,0.0 ,"6,149.9 ","6,149.9 ",312.1 ,312.1 ,538.4 ,"6,215.8 "
,,3075,B,DR,PT,14,17,0.0 ,348.4 ,348.4 ,17.3 ,17.3 ,30.5 ,392.6 
,,3075,B,MB,DO,145,182,"4,684.3 ","4,907.2 ","4,586.5 ",365.6 ,346.6 ,"7,250.9 ","34,050.1 "
,,3075,B,MB,PT,20,29,736.0 ,"1,099.3 ",967.6 ,52.3 ,48.6 ,242.3 ,"4,815.6 "
,,,Total,,,336,440,"5,420.2 ","12,504.9 ","12,052.5 ",747.3 ,724.5 ,"8,062.1 ","45,474.0 "
FL,"Advanced Transportation Solutions, LLC (ATS)",,,,,,,,,,,,,
,,4134,D,DR,PT,225,279,0.0 ,"13,571.2 ","11,904.1 ",814.0 ,744.6 ,"1,196.0 ","15,943.0 "
FL,Bay County Council On Aging Bay Coordinated Transportation (BCCOA),,,,,,,,,,,,,
,,4085,A,DR,DO,40,43,0.0 ,997.0 ,798.4 ,62.4 ,48.7 ,154.0 ,867.4 
,,4085,A,MB,DO,8,10,227.5 ,258.2 ,227.5 ,16.3 ,13.7 ,105.7 ,227.5 
,,,Total,,,48,53,227.5 ,"1,255.2 ","1,025.9 ",78.7 ,62.4 ,259.8 ,"1,094.9 "
FL,Broward County Mass Transit Division (BCT),,,,,,,,,,,,,
,,4029,B,DR,PT,280,335,0.0 ,"12,896.6 ","11,143.8 ",979.5 ,871.4 ,"1,263.9 ","11,121.9 "
,,4029,B,MB,DO,204,263,"13,213.7 ","14,355.8 ","13,196.6 ","1,020.5 ",976.4 ,"34,426.7 ","148,007.8 "
,,4029,B,MB,PT,68,80,"2,236.1 ","2,358.7 ","2,195.8 ",178.4 ,169.5 ,"1,486.0 ","5,875.5 "
,,,Total,,,552,678,"15,449.8 ","29,611.1 ","26,536.2 ","2,178.4 ","2,017.2 ","37,176.6 ","165,005.1 "
