State,Name,ID,Org / Type,Mode,TOS, VOMS,Service Supplied (in 000's),,,,,,Unlinked Passenger Trips,
,,9093,B,DR,PT,14,19,0.0 ,390.1 ,379.9 ,25.8 ,23.8 ,60.6 ,379.9 
,,9093,B,MB,PT,13,22,785.1 ,829.6 ,785.1 ,50.7 ,47.8 ,894.3 ,"3,985.7 "
,,,Total,,,27,41,785.1 ,"1,219.6 ","1,165.0 ",76.5 ,71.6 ,954.9 ,"4,365.6 "
CA,Riverside Transit Agency (RTA),,,,,,,,,,,,,
,,9031,B,DR,PT,49,56,0.0 ,"1,828.1 ","1,828.1 ",107.7 ,107.7 ,224.3 ,"2,249.5 "
,,9031,B,MB,DO,65,80,"3,775.6 ","4,240.5 ","3,820.9 ",270.5 ,255.0 ,"6,092.6 ","32,480.4 "
,,9031,B,MB,PT,39,52,"2,359.3 ","2,170.4 ","1,972.0 ",120.9 ,114.3 ,785.9 ,"6,507.9 "
,,,Total,,,153,188,"6,134.9 ","8,239.0 ","7,621.0 ",499.1 ,477.0 ,"7,102.8 ","41,237.8 "
CA,Roseville Transit,,,,,,,,,,,,,
,,9168,B,DR,PT,6,12,0.0 ,275.1 ,248.3 ,21.4 ,19.9 ,62.4 ,395.3 
,,9168,B,MB,PT,12,15,527.4 ,587.6 ,527.4 ,39.1 ,35.0 ,333.3 ,"2,698.5 "
,,,Total,,,18,27,527.4 ,862.7 ,775.7 ,60.5 ,54.9 ,395.7 ,"3,093.8 "
CA,Sacramento Regional Transit District (Sacramento RT),,,,,,,,,,,,,
,,9019,A,DR,PT,97,159,0.0 ,"2,825.6 ","2,502.6 ",168.6 ,144.9 ,255.8 ,"2,105.2 "
,,9019,A,LR,DO,32,36,"2,130.3 ","2,167.1 ","2,128.5 ",106.1 ,103.7 ,"8,541.1 ","46,710.9 "
,,9019,A,MB,DO,193,214,"7,747.0 ","9,248.9 ","7,738.1 ",650.7 ,600.9 ,"18,068.9 ","72,297.5 "
,,,Total,,,322,409,"9,877.3 ","14,241.5 ","12,369.2 ",925.4 ,849.5 ,"26,865.8 ","121,113.6 "
CA,San Diego Association of Governments (SANDAG),,,,,,,,,,,,,
,,9095,B,VP,PT,206,206,0.0 ,"4,999.3 ","4,999.3 ",106.2 ,106.2 ,631.2 ,"33,225.7 "
CA,San Diego Metropolitan Transit Development Board (MTDB),,,,,,,,,,,,,
,,9185,B,DR,PT,82,100,0.0 ,"3,058.6 ","2,580.7 ",217.6 ,180.4 ,798.7 ,"3,700.9 "
,,9185,B,MB,PT,91,121,"4,579.5 ","5,116.9 ","4,573.7 ",413.9 ,367.0 ,"11,615.1 ","40,240.6 "
,,,Total,,,173,221,"4,579.5 ","8,175.5 ","7,154.4 ",631.5 ,547.5 ,"12,413.8 ","43,941.5 "
CA,San Diego Metropolitan Transit System (MTS),,,,,,,,,,,,,
,,9026,A,MB,DO,231,334,"12,682.4 ","14,372.8 ","12,693.0 ","1,134.2 ","1,067.2 ","40,540.8 ","153,293.1 "
CA,"San Diego Trolley, Inc.",,,,,,,,,,,,,
,,9054,A,LR,DO,83,123,"7,046.7 ","7,113.2 ","7,046.7 ",375.7 ,368.4 ,"25,433.0 ","150,308.7 "
CA,San Francisco Bay Area Rapid Transit District (BART),,,,,,,,,,,,,
,,9003,A,HR,DO,493,669,"59,764.9 ","59,955.4 ","58,437.4 ","1,945.1 ","1,552.3 ","97,146.1 ","1,176,305.5 "
CA,San Francisco Municipal Railway (MUNI),,,,,,,,,,,,,
,,9015,B,CC,DO,26,40,476.9 ,436.9 ,436.9 ,135.6 ,135.6 ,"7,729.1 ","9,165.5 "
,,9015,B,LR,DO,128,167,"5,616.8 ","5,458.9 ","5,458.9 ",571.3 ,571.3 ,"47,898.2 ","117,816.1 "
,,9015,B,MB,DO,414,577,"13,937.4 ","15,347.8 ","13,408.4 ","1,667.8 ","1,538.4 ","98,614.6 ","206,199.2 "
,,9015,B,TB,DO,265,350,"7,513.1 ","7,607.2 ","7,273.6 ","1,094.2 ","1,056.3 ","78,773.6 ","120,520.7 "
,,,Total,,,833,"1,134","27,544.3 ","28,850.8 ","26,577.7 ","3,469.0 ","3,301.7 ","233,015.6 ","453,701.5 "
CA,San Francisco Paratransit (ATC),,,,,,,,,,,,,
,,9186,D,DR,PT,"1,421","1,603",0.0 ,"4,408.5 ","4,408.5 ",345.0 ,345.0 ,"1,287.1 ","7,445.1 "
CA,San Joaquin Regional Transit District (SJRTD),,,,,,,,,,,,,
,,9012,B,DR,PT,38,41,0.0 ,"1,727.1 ","1,333.2 ",99.9 ,74.9 ,194.2 ,429.0 
,,9012,B,MB,DO,92,109,"3,783.9 ","3,783.9 ","3,034.6 ",224.2 ,201.1 ,"4,230.5 ","32,356.6 "
,,9012,B,MB,PT,2,2,49.7 ,60.0 ,49.7 ,3.4 ,2.9 ,12.2 ,46.9 
,,9012,B,VP,DO,5,6,0.0 ,149.7 ,148.2 ,3.2 ,3.2 ,11.5 ,766.4 
,,,Total,,,137,158,"3,833.6 ","5,720.6 ","4,565.8 ",330.6 ,282.1 ,"4,448.4 ","33,599.0 "
CA,San Mateo County Transit District (SamTrans),,,,,,,,,,,,,
,,9009,B,DR,PT,86,89,0.0 ,"2,840.6 ","2,438.6 ",202.0 ,172.8 ,284.0 ,"2,337.0 "
,,9009,B,MB,DO,214,258,"5,391.7 ","7,509.9 ","5,336.9 ",579.9 ,495.7 ,"12,528.2 ","58,005.7 "
,,9009,B,MB,PT,59,74,"2,598.2 ","3,355.1 ","2,598.2 ",201.9 ,163.7 ,"4,574.6 ","38,427.1 "
,,,Total,,,359,421,"7,990.0 ","13,705.6 ","10,373.7 ",983.8 ,832.2 ,"17,386.8 ","98,769.8 "
CA,Santa Barbara Metropolitan Transit District (SBMTD),,,,,,,,,,,,,
,,9020,A,MB,DO,74,92,"2,400.4 ","2,637.8 ","2,400.4 ",206.4 ,181.0 ,"6,903.5 ","25,753.4 "
CA,Santa Clara Valley Transportation Authority (VTA),,,,,,,,,,,,,
,,9013,B,DR,PT,336,352,0.0 ,"11,608.3 ","9,937.1 ",715.3 ,647.1 ,"1,019.0 ","7,947.5 "
,,9013,B,LR,DO,41,66,"2,467.6 ","2,554.9 ","2,466.1 ",172.3 ,165.9 ,"7,789.6 ","34,656.2 "
,,9013,B,MB,DO,402,491,"18,712.2 ","21,917.9 ","18,607.4 ","1,580.1 ","1,452.7 ","44,900.5 ","177,882.5 "
,,9013,B,MB,PT,33,33,538.6 ,662.8 ,538.6 ,65.1 ,55.6 ,721.1 ,"1,841.1 "
,,,Total,,,812,942,"21,718.4 ","36,743.9 ","31,549.2 ","2,532.8 ","2,321.3 ","54,430.2 ","222,327.3 "
CA,Santa Clarita Transit (SCT),,,,,,,,,,,,,
,,9171,B,DR,PT,11,16,0.0 ,468.7 ,391.5 ,32.4 ,24.6 ,67.8 ,492.8 
,,9171,B,MB,PT,47,62,"2,907.2 ","2,885.3 ","2,598.2 ",150.3 ,135.0 ,"2,923.8 ","35,202.9 "
,,,Total,,,58,78,"2,907.2 ","3,354.0 ","2,989.8 ",182.7 ,159.6 ,"2,991.6 ","35,695.6 "
CA,Santa Cruz Metropolitan Transit District (SCMTD),,,,,,,,,,,,,
,,9006,B,DR,PT,68,71,0.0 ,820.1 ,698.2 ,66.5 ,59.1 ,108.1 ,631.9 
,,9006,B,MB,DO,83,123,"3,568.5 ","4,100.1 ","3,582.5 ",278.3 ,257.6 ,"6,270.5 ","35,867.5 "
,,,Total,,,151,194,"3,568.5 ","4,920.2 ","4,280.7 ",344.8 ,316.8 ,"6,378.6 ","36,499.4 "
CA,Santa Maria Area Transit (SMAT),,,,,,,,,,,,,
,,9087,B,DR,PT,7,8,0.0 ,123.8 ,106.5 ,11.0 ,8.6 ,27.1 ,186.0 
,,9087,B,MB,PT,10,14,379.0 ,407.7 ,379.0 ,31.7 ,28.2 ,617.7 ,871.0 
,,,Total,,,17,22,379.0 ,531.5 ,485.5 ,42.7 ,36.8 ,644.8 ,"1,056.9 "
CA,Santa Monica Municipal Bus Lines (Big Blue Bus),,,,,,,,,,,,,
,,9008,B,DR,PT,4,6,0.0 ,82.1 ,78.7 ,9.6 ,8.8 ,25.8 ,65.1 
,,9008,B,MB,DO,136,216,"4,979.7 ","5,518.8 ","4,973.1 ",470.3 ,438.6 ,"22,533.0 ","78,777.3 "
,,,Total,,,140,222,"4,979.7 ","5,600.9 ","5,051.8 ",479.8 ,447.4 ,"22,558.9 ","78,842.4 "
CA,Simi Valley Transit (SVT),,,,,,,,,,,,,
,,9050,B,DR,DO,7,10,0.0 ,310.7 ,280.9 ,26.8 ,25.3 ,44.2 ,260.6 
,,9050,B,MB,DO,7,11,374.7 ,391.0 ,371.6 ,27.5 ,26.3 ,398.4 ,"1,925.5 "
,,,Total,,,14,21,374.7 ,701.7 ,652.5 ,54.3 ,51.6 ,442.6 ,"2,186.1 "
CA,Sonoma County Transit,,,,,,,,,,,,,
,,9089,B,DR,PT,8,15,0.0 ,379.5 ,168.6 ,21.5 ,10.7 ,24.7 ,363.7 
,,9089,B,MB,PT,43,76,"1,596.4 ","2,070.5 ","1,588.3 ",113.6 ,92.5 ,"1,493.2 ","13,617.8 "
,,,Total,,,51,91,"1,596.4 ","2,450.0 ","1,756.8 ",135.1 ,103.2 ,"1,517.8 ","13,981.5 "
CA,South Coast Area Transit (SCAT),,,,,,,,,,,,,
,,9035,B,DR,PT,15,19,0.0 ,553.3 ,477.2 ,37.2 ,27.8 ,79.1 ,624.1 
,,9035,B,MB,DO,36,44,"1,546.7 ","1,617.9 ","1,540.5 ",131.4 ,126.0 ,"3,579.7 ","13,506.3 "
,,,Total,,,51,63,"1,546.7 ","2,171.1 ","2,017.7 ",168.5 ,153.8 ,"3,658.8 ","14,130.5 "
CA,Southern California Regional Rail Authority (Metrolink),,,,,,,,,,,,,
,,9151,B,CR,PT,156,156,"7,272.1 ","7,483.4 ","7,255.6 ",207.3 ,177.0 ,"7,910.8 ","265,147.7 "
CA,SunLine Transit Agency (SunLine),,,,,,,,,,,,,
,,9079,A,DR,DO,20,24,0.0 ,928.7 ,824.1 ,51.7 ,45.9 ,112.8 ,"1,265.4 "
,,9079,A,MB,DO,41,54,"2,397.1 ","2,356.5 ","2,261.2 ",151.0 ,146.9 ,"3,718.2 ","24,995.8 "
,,,Total,,,61,78,"2,397.1 ","3,285.2 ","3,085.3 ",202.8 ,192.8 ,"3,831.0 ","26,261.2 "
CA,Thousand Oaks Transit (TOT),,,,,,,,,,,,,
,,9165,B,DR,PT,8,9,0.0 ,278.7 ,246.7 ,23.6 ,21.3 ,69.5 ,254.5 
,,9165,B,MB,PT,6,8,215.2 ,231.7 ,215.2 ,16.4 ,15.3 ,118.3 ,706.8 
,,,Total,,,14,17,215.2 ,510.4 ,461.9 ,40.0 ,36.5 ,187.8 ,961.2 
CA,Torrance Transit System,,,,,,,,,,,,,
,,9010,B,DR,PT,36,56,0.0 ,346.5 ,337.1 ,21.9 ,20.5 ,76.3 ,295.7 
,,9010,B,MB,DO,43,58,"1,950.4 ","2,020.8 ","1,952.6 ",160.7 ,156.3 ,"4,645.9 ","20,934.5 "
,,9010,B,MB,PT,11,14,115.5 ,291.8 ,115.4 ,11.7 ,6.4 ,64.0 ,666.7 
,,,Total,,,90,128,"2,065.9 ","2,659.1 ","2,405.1 ",194.2 ,183.2 ,"4,786.2 ","21,896.9 "
CA,"University of California, Davis (Unitrans)",,,,,,,,,,,,,
,,9142,A,MB,DO,32,40,0.7 ,689.0 ,644.3 ,63.7 ,60.7 ,"2,732.2 ","5,678.6 "
CA,Ventura Intercity Service Transit Authority (VISTA),,,,,,,,,,,,,
,,9164,B,DR,PT,8,9,0.0 ,328.5 ,308.3 ,22.7 ,21.3 ,155.2 ,884.7 
,,9164,B,MB,PT,18,22,"1,345.6 ","1,388.8 ","1,345.4 ",44.7 ,43.3 ,338.3 ,"3,673.8 "
,,,Total,,,26,31,"1,345.6 ","1,717.3 ","1,653.7 ",67.4 ,64.7 ,493.5 ,"4,558.6 "
CA,Victor Valley Transit Authority (VVTA),,,,,,,,,,,,,
,,9148,B,DR,PT,25,36,0.0 ,956.0 ,780.5 ,52.2 ,38.5 ,101.6 ,"1,058.9 "
,,9148,B,MB,PT,15,25,"1,115.7 ","1,194.3 ","1,104.0 ",62.7 ,59.2 ,962.9 ,"9,694.2 "
,,,Total,,,40,61,"1,115.7 ","2,150.3 ","1,884.4 ",114.8 ,97.7 ,"1,064.5 ","10,753.1 "
CA,Western Contra Costa Transit Authority (WestCAT),,,,,,,,,,,,,
,,9159,B,DR,PT,10,12,0.0 ,290.3 ,258.5 ,19.9 ,17.3 ,65.7 ,309.6 
,,9159,B,MB,PT,28,32,"1,170.0 ","1,238.1 ","1,166.9 ",76.9 ,73.7 ,"1,293.8 ","3,582.1 "
,,,Total,,,38,44,"1,170.0 ","1,528.4 ","1,425.4 ",96.8 ,91.0 ,"1,359.5 ","3,891.6 "
CA,Yolo County Transportation District (YoloBus),,,,,,,,,,,,,
,,9090,B,DR,PT,4,8,0.0 ,199.7 ,162.5 ,12.2 ,10.0 ,17.7 ,124.1 
,,9090,B,MB,PT,29,35,"1,291.2 ","1,588.2 ","1,291.2 ",72.4 ,58.9 ,"1,303.5 ","12,500.1 "
,,,Total,,,33,43,"1,291.2 ","1,787.9 ","1,453.7 ",84.7 ,68.9 ,"1,321.2 ","12,624.2 "
CA,Yuba-Sutter Transit Authority (YSTA),,,,,,,,,,,,,
,,9061,B,DR,PT,10,14,0.0 ,328.3 ,285.2 ,22.0 ,19.0 ,64.7 ,349.4 
,,9061,B,MB,PT,18,18,745.0 ,799.0 ,745.0 ,46.0 ,43.0 ,564.0 ,"6,429.6 "
,,,Total,,,28,32,745.0 ,"1,127.3 ","1,030.2 ",68.0 ,62.0 ,628.7 ,"6,779.1 "
CO,City of Greeley - Transit Services (The Bus),,,,,,,,,,,,,
,,8010,A,DR,DO,5,7,0.0 ,131.1 ,109.7 ,14.8 ,13.0 ,28.5 ,97.8 
,,8010,A,MB,DO,10,14,378.2 ,382.5 ,378.2 ,27.2 ,26.4 ,401.3 ,"1,499.9 "
,,,Total,,,15,21,378.2 ,513.6 ,487.8 ,42.1 ,39.3 ,429.9 ,"1,597.7 "
CO,Colorado Springs Transit System,,,,,,,,,,,,,
,,8005,B,DR,PT,49,69,0.0 ,"1,579.4 ","1,513.5 ",99.9 ,95.8 ,234.5 ,"1,667.7 "
,,8005,B,MB,DO,50,66,"2,439.8 ","2,634.9 ","2,420.4 ",167.0 ,157.6 ,"3,594.6 ","12,577.9 "
,,,Total,,,99,135,"2,439.8 ","4,214.3 ","3,933.9 ",266.9 ,253.3 ,"3,829.1 ","14,245.6 "
CO,Denver Regional Transportation District (RTD),,,,,,,,,,,,,
,,8006,A,DR,DO,18,18,0.0 ,89.8 ,69.7 ,11.8 ,9.7 ,94.8 ,"1,058.8 "
,,8006,A,DR,PT,214,222,0.0 ,"5,672.3 ","4,576.9 ",520.7 ,425.5 ,575.4 ,"4,926.1 "
,,8006,A,LR,DO,41,49,"2,849.8 ","3,433.6 ","2,976.4 ",242.0 ,165.1 ,"10,429.6 ","44,577.7 "
,,8006,A,MB,DO,577,782,"23,941.9 ","31,239.8 ","24,250.3 ","1,926.2 ","1,583.8 ","51,773.7 ","240,851.8 "
,,8006,A,MB,PT,297,352,"13,851.7 ","15,611.3 ","13,667.1 ","1,091.9 ",985.7 ,"17,907.6 ","87,241.0 "
,,8006,A,VP,PT,45,57,0.0 ,"1,079.1 ","1,079.1 ",27.9 ,27.9 ,142.5 ,"6,385.5 "
,,,Total,,,"1,192","1,480","40,643.5 ","57,125.9 ","46,619.5 ","3,820.7 ","3,197.8 ","80,923.5 ","385,040.9 "
CO,Mesa County,,,,,,,,,,,,,
,,8016,B,DR,PT,4,10,0.0 ,110.6 ,104.9 ,8.5 ,8.0 ,12.4 ,51.8 
,,8016,B,MB,PT,11,27,599.1 ,580.6 ,564.0 ,45.3 ,42.0 ,591.8 ,"2,254.7 "
,,,Total,,,15,37,599.1 ,691.2 ,669.0 ,53.9 ,50.1 ,604.1 ,"2,306.5 "
CO,Pueblo Transportation Company (CityBus),,,,,,,,,,,,,
,,8007,B,DR,PT,6,7,0.0 ,160.8 ,160.8 ,13.2 ,13.2 ,24.2 ,135.8 
,,8007,B,MB,DO,12,12,525.0 ,528.8 ,525.0 ,36.7 ,36.1 ,"1,022.4 ","2,975.4 "
,,,Total,,,18,19,525.0 ,689.6 ,685.8 ,49.9 ,49.3 ,"1,046.6 ","3,111.2 "
CO,Transfort,,,,,,,,,,,,,
,,8011,A,DR,DO,15,16,0.0 ,465.0 ,430.3 ,38.6 ,35.8 ,76.8 ,401.0 
,,8011,A,MB,DO,19,24,705.9 ,751.9 ,705.9 ,64.6 ,56.6 ,"1,567.3 ","4,691.6 "
,,,Total,,,34,40,705.9 ,"1,216.9 ","1,136.2 ",103.2 ,92.4 ,"1,644.1 ","5,092.5 "
CT,Connecticut Department of Transportation (CDOT),,,,,,,,,,,,,
,,1102,C,CR,PT,20,29,597.2 ,851.8 ,593.3 ,18.5 ,13.7 ,294.9 ,"6,507.4 "
,,1102,C,MB,PT,11,12,168.8 ,318.0 ,168.8 ,15.6 ,7.1 ,183.1 ,"2,759.0 "
,,,Total,,,31,41,765.9 ,"1,169.8 ",762.1 ,34.1 ,20.8 ,478.0 ,"9,266.4 "
CT,Connecticut Transit - Stamford Division (CTTransit),,,,,,,,,,,,,
,,1056,D,MB,DO,38,52,"1,233.9 ","1,274.2 ","1,233.9 ",110.7 ,106.9 ,"3,307.1 ","12,039.3 "
CT,Connecticut Transit-Hartford Division (CTTransit),,,,,,,,,,,,,
,,1048,D,MB,DO,184,228,"6,382.6 ","7,166.4 ","6,374.2 ",526.0 ,480.2 ,"17,166.4 ","62,404.6 "
CT,Connecticut Transit-New Haven Division (CTTransit),,,,,,,,,,,,,
,,1055,D,MB,DO,87,112,"3,285.8 ","3,535.8 ","3,281.6 ",305.8 ,277.3 ,"12,379.6 ","41,268.0 "
CT,Greater Bridgeport Transit Authority,,,,,,,,,,,,,
,,1050,B,DR,PT,16,20,0.0 ,532.1 ,380.5 ,35.2 ,25.2 ,82.7 ,456.6 
,,1050,B,MB,DO,45,60,"2,166.9 ","2,256.7 ","2,172.1 ",178.4 ,171.6 ,"5,119.3 ","12,695.9 "
,,,Total,,,61,80,"2,166.9 ","2,788.8 ","2,552.6 ",213.6 ,196.8 ,"5,201.9 ","13,152.4 "
CT,"Greater Hartford Ridesharing Corporation, The Rideshare Company",,,,,,,,,,,,,
,,1108,A,VP,DO,280,363,0.0 ,"5,892.8 ","5,743.3 ",143.2 ,141.0 ,35.6 ,"62,946.9 "
CT,Greater Hartford Transit District (GHTD),,,,,,,,,,,,,
,,1017,B,DR,PT,93,129,0.0 ,"2,512.2 ","2,386.6 ",207.8 ,197.4 ,485.6 ,"3,474.6 "
CT,Housatonic Area Regional Transit (HART),,,,,,,,,,,,,
,,1051,A,DR,DO,15,30,0.0 ,444.0 ,412.3 ,30.6 ,28.3 ,62.1 ,436.1 
,,1051,A,MB,DO,22,26,801.2 ,857.5 ,801.2 ,53.5 ,49.9 ,789.8 ,"2,898.4 "
,,,Total,,,37,56,801.2 ,"1,301.6 ","1,213.5 ",84.1 ,78.2 ,851.9 ,"3,334.5 "
CT,Middletown Transit District (MTD),,,,,,,,,,,,,
,,1063,B,DR,PT,9,14,0.0 ,186.7 ,164.8 ,19.8 ,17.6 ,39.7 ,155.1 
,,1063,B,MB,PT,8,12,352.0 ,470.1 ,456.6 ,30.0 ,26.4 ,331.6 ,"1,739.7 "
,,,Total,,,17,26,352.0 ,656.8 ,621.3 ,49.8 ,44.0 ,371.4 ,"1,894.9 "
CT,Milford Transit District (MTD),,,,,,,,,,,,,
,,1107,A,DR,DO,12,15,0.0 ,399.4 ,343.6 ,22.6 ,20.6 ,66.5 ,362.9 
,,1107,A,MB,DO,8,9,366.7 ,335.5 ,325.5 ,28.4 ,26.6 ,335.5 ,"1,484.2 "
,,,Total,,,20,24,366.7 ,734.8 ,669.0 ,51.0 ,47.2 ,401.9 ,"1,847.1 "
CT,New Britain Transportation Company Inc.,,,,,,,,,,,,,
,,1052,D,MB,DO,3,3,97.5 ,110.3 ,97.5 ,6.7 ,5.9 ,70.9 ,301.2 
CT,"New Britain Transportation Company, Inc.",,,,,,,,,,,,,
,,1047,D,MB,DO,12,12,488.9 ,518.4 ,488.9 ,32.0 ,30.2 ,568.5 ,"2,484.3 "
CT,"Northeast Transportation Company, Inc.",,,,,,,,,,,,,
,,1095,D,DR,DO,25,34,0.0 ,765.5 ,635.5 ,42.3 ,36.8 ,88.4 ,485.4 
,,1095,D,MB,DO,31,41,890.2 ,"1,001.2 ",890.2 ,78.2 ,72.9 ,"1,788.1 ","3,647.8 "
,,,Total,,,56,75,890.2 ,"1,766.7 ","1,525.7 ",120.5 ,109.7 ,"1,876.5 ","4,133.2 "
CT,Norwalk Transit District,,,,,,,,,,,,,
,,1057,B,DR,DO,17,17,0.0 ,305.8 ,214.1 ,17.3 ,12.2 ,28.0 ,123.2 
,,1057,B,DR,PT,17,17,0.0 ,280.8 ,196.4 ,24.5 ,17.3 ,36.4 ,160.2 
,,1057,B,MB,DO,39,39,"1,181.1 ","1,298.6 ","1,175.1 ",92.5 ,86.2 ,"1,919.0 ","5,574.8 "
,,1057,B,MB,PT,3,3,26.1 ,48.6 ,26.1 ,2.0 ,1.5 ,56.7 ,158.6 
,,,Total,,,76,76,"1,207.2 ","1,933.8 ","1,611.6 ",136.3 ,117.3 ,"2,040.1 ","6,016.9 "
CT,Southeast Area Transit (SEAT),,,,,,,,,,,,,
,,1040,B,DR,PT,2,3,0.0 ,33.4 ,31.9 ,2.0 ,2.0 ,2.9 ,10.3 
,,1040,B,MB,DO,19,25,817.4 ,815.1 ,761.8 ,46.3 ,44.2 ,914.2 ,"5,002.7 "
,,,Total,,,21,28,817.4 ,848.5 ,793.7 ,48.3 ,46.2 ,917.1 ,"5,013.0 "
CT,The Greater New Haven Transit District (GNHTD),,,,,,,,,,,,,
,,1049,A,DR,DO,70,90,0.0 ,"1,861.8 ","1,687.1 ",159.6 ,142.4 ,266.8 ,"2,178.6 "
CT,Valley Transit District,,,,,,,,,,,,,
,,1042,A,DR,DO,18,18,0.0 ,397.4 ,267.5 ,39.4 ,33.8 ,133.0 ,405.0 
DC,Washington Metropolitan Area Transit Authority (WMATA),,,,,,,,,,,,,
,,3030,B,DR,PT,138,228,0.0 ,"9,154.7 ","8,021.8 ",574.3 ,505.1 ,738.3 ,"8,021.8 "
,,3030,B,HR,DO,664,812,"50,928.5 ","54,477.3 ","52,192.2 ","2,429.0 ","2,269.5 ","242,794.1 ","1,438,336.2 "
,,3030,B,MB,DO,"1,247","1,442","37,685.9 ","46,573.2 ","37,934.2 ","3,760.7 ","3,349.2 ","147,771.2 ","450,768.8 "
,,,Total,,,"2,049","2,482","88,614.4 ","110,205.2 ","98,148.2 ","6,764.1 ","6,123.8 ","391,303.6 ","1,897,126.8 "
DE,Delaware Transit Corporation (DTC),,,,,,,,,,,,,
,,3075,B,DR,DO,156,186,0.0 ,"5,927.1 ","5,927.1 ",316.4 ,316.4 ,525.4 ,"6,239.5 "
,,3075,B,DR,PT,8,8,0.0 ,309.9 ,309.9 ,16.2 ,16.2 ,28.6 ,382.3 
,,3075,B,MB,DO,146,172,"4,623.4 ","4,948.3 ","4,609.9 ",366.3 ,344.5 ,"7,514.8 ","34,707.6 "
,,3075,B,MB,PT,18,30,984.7 ,"1,077.0 ",964.2 ,51.2 ,44.9 ,229.4 ,"4,887.0 "
,,,Total,,,328,396,"5,608.1 ","12,262.3 ","11,811.1 ",750.0 ,721.9 ,"8,298.2 ","46,216.4 "
FL,"Advanced Transportation Solutions, LLC (ATS)",,,,,,,,,,,,,
,,4134,D,DR,PT,206,250,0.0 ,"12,544.9 ","11,113.4 ",758.0 ,691.9 ,"1,060.9 ","14,058.6 "
FL,Bay County Council On Aging Bay Coordinated Transportation (BCCOA),,,,,,,,,,,,,
,,4085,A,DR,DO,40,43,0.0 ,921.7 ,737.0 ,56.8 ,45.6 ,171.4 ,863.6 
,,4085,A,MB,DO,4,8,199.1 ,224.2 ,197.9 ,13.0 ,11.4 ,87.6 ,218.9 
,,,Total,,,44,51,199.1 ,"1,145.9 ",934.8 ,69.8 ,57.0 ,259.0 ,"1,082.6 "
FL,Broward County Mass Transit Division (BCT),,,,,,,,,,,,,
,,4029,B,DR,PT,258,311,0.0 ,"11,596.8 ","10,032.3 ",840.6 ,737.9 ,"1,140.1 ","10,117.6 "
,,4029,B,MB,DO,210,255,"12,730.1 ","13,807.2 ","12,725.0 ",972.9 ,933.9 ,"31,641.7 ","138,177.5 "
,,4029,B,MB,PT,65,69,"2,013.6 ","2,136.7 ","1,962.8 ",158.7 ,150.3 ,"1,172.0 ","4,822.4 "
,,,Total,,,533,635,"14,743.8 ","27,540.7 ","24,720.1 ","1,972.2 ","1,822.1 ","33,953.9 ","153,117.5 "
FL,Central Florida Regional Transportation Authority (Lynx),,,,,,,,,,,,,
,,4035,B,DR,PT,199,210,0.0 ,"9,003.7 ","7,399.9 ",543.5 ,463.4 ,719.9 ,"10,224.6 "
,,4035,B,MB,DO,201,244,"12,496.2 ","13,625.7 ","12,504.3 ",957.7 ,896.0 ,"20,546.8 ","126,182.3 "
,,4035,B,VP,PT,53,79,0.0 ,"1,331.2 ","1,331.2 ",27.5 ,27.5 ,219.7 ,"7,845.3 "
,,,Total,,,453,533,"12,496.2 ","23,960.6 ","21,235.4 ","1,528.8 ","1,387.0 ","21,486.4 ","144,252.2 "
FL,Charlotte County Transit Department,,,,,,,,,,,,,
,,4129,B,DR,DO,2,2,0.0 ,39.4 ,32.3 ,4.0 ,3.5 ,10.4 ,13.2 
,,4129,B,DR,PT,10,13,0.0 ,401.4 ,342.4 ,24.9 ,20.9 ,50.2 ,325.5 
,,,Total,,,12,15,0.0 ,440.9 ,374.7 ,28.9 ,24.4 ,60.5 ,338.7 
FL,City of Tallahassee (TalTran),,,,,,,,,,,,,
,,4036,B,DR,DO,10,17,0.0 ,340.0 ,293.5 ,24.8 ,22.8 ,40.5 ,274.7 
,,4036,B,DR,PT,3,3,0.0 ,40.2 ,34.5 ,3.3 ,3.0 ,10.5 ,50.5 
,,4036,B,MB,DO,49,58,"1,699.9 ","1,800.5 ","1,699.2 ",150.6 ,144.2 ,"4,140.3 ","10,350.6 "
,,,Total,,,62,78,"1,699.9 ","2,180.8 ","2,027.2 ",178.6 ,170.0 ,"4,191.3 ","10,675.9 "
FL,"Council on Aging of Martin County, Inc. (COAMC \ CC - MCBOCC)",,,,,,,,,,,,,
,,4113,D,DR,DO,26,39,0.0 ,528.1 ,471.6 ,43.6 ,33.8 ,109.0 ,"2,547.1 "
FL,"Council on Aging of St. Lucie, Inc. (CT)",,,,,,,,,,,,,
,,4097,E,DR,DO,20,37,0.0 ,691.9 ,604.8 ,43.5 ,39.3 ,167.2 ,671.2 
,,4097,E,MB,DO,3,3,10.0 ,10.6 ,10.0 ,0.8 ,0.7 ,0.7 ,10.3 
,,,Total,,,23,40,10.0 ,702.5 ,614.8 ,44.3 ,40.0 ,167.9 ,681.5 
FL,"County of Volusia, dba: VOTRAN",,,,,,,,,,,,,
,,4032,B,DR,DO,36,52,0.0 ,"1,386.7 ","1,208.8 ",89.7 ,80.0 ,186.6 ,"2,090.7 "
,,4032,B,DR,PT,37,37,0.0 ,"1,221.8 ","1,221.8 ",63.0 ,63.0 ,124.5 ,"1,299.0 "
,,4032,B,MB,DO,42,58,"2,412.0 ","2,589.4 ","2,427.8 ",171.0 ,163.8 ,"2,948.6 ","16,102.1 "
